row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016(Triệu VND),USD,EUR,Tiền tệ khác vàvàng,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khác vàvàng,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,348.461,108.022,231.670,688.153,348461.0,108022.0,231670.0,688153.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,223.336,-,-,223.336,223336.0,,,223336.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,1.577.428,98.523,44.649,1.720.600,1577428.0,98523.0,44649.0,1720600.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,2.313.560,-,-,2.313.560,2313560.0,,,2313560.0
Mua nợ - gộp,Tài sản > Mua nợ - gộp,Mua nợ - gộp,35.466,-,-,35.466,35466.0,,,35466.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,303.471,4.808,21,308.300,303471.0,4808.0,21.0,308300.0
,,,4.801.722,211.353,276.340,5.289.415,4801722.0,211353.0,276340.0,5289415.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả NHNN và Chính phủ,Nợ phải trả > Nợ phải trả NHNN và Chính phủ,Nợ phải trả NHNN và Chính phủ,32.285,-,-,32.285,32285.0,,,32285.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,3.526.502,15.913,2.759,3.545.174,3526502.0,15913.0,2759.0,3545174.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.865.463,149.183,35.262,3.049.908,2865463.0,149183.0,35262.0,3049908.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(1.784.317),122.089,209.539,(1.452.689),-1784317.0,122089.0,209539.0,-1452689.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,73.325,216,6.842,80.383,73325.0,216.0,6842.0,80383.0
,,,4.713.258,287.401,254.402,5.255.061,4713258.0,287401.0,254402.0,5255061.0
Trạng thái tiền tệ,Nợ phải trả > Trạng thái tiền tệ,Trạng thái tiền tệ,88.464,(76.048),21.938,34.354,88464.0,-76048.0,21938.0,34354.0
