row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
X,X,X,Tài sản Có khác,16,12.635.347,10.682.008,,16.0,12635347.0,10682008.0
1,1,1,Các khoản phải thu,,6.596.237,4.423.883,,,6596237.0,4423883.0
2,2,2,"Các khoản lãi, phí phải thu",,2.774.998,3.094.705,,,2774998.0,3094705.0
3,3,3,Tài sản Có khác,,3.446.969,3.181.491,,,3446969.0,3181491.0
4,4,4,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(182.857),(18.071),,,-182857.0,-18071.0
,,,TỔNG TÀI SẢN,,92.293.871,104.779.489,,,92293871.0,104779489.0
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
,,,NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,17,4.386.050,5.027.470,,17.0,4386050.0,5027470.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,11.040.942,17.893.190,,18.0,11040942.0,17893190.0
1,B > 1,1,Tiền gửi của các TCTD khác,,4.207.774,4.747.419,,,4207774.0,4747419.0
2,B > 2,2,Vay các TCTD khác,,6.833.168,13.145.771,,,6833168.0,13145771.0
III,B > III,III,Tiền gửi của khách hàng,19,57.665.951,62.623.660,,19.0,57665951.0,62623660.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và nợ phải trả tài chính khác,20,51.505,163.899,,20.0,51505.0,163899.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,-,137.000,,,,137000.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,3.378.047,3.297.331,,21.0,3378047.0,3297331.0
VII,B > VII,VII,Các khoản nợ khác,22,2.194.891,2.049.603,,22.0,2194891.0,2049603.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.325.123,1.247.199,,,1325123.0,1247199.0
2,B > 2,2,Các khoản phải trả và công nợ khác,,869.768,802.404,,,869768.0,802404.0
,,,TỔNG NỘ PHẢI TRẢ,,78.717.386,91.192.153,,,78717386.0,91192153.0
