row_label_raw,row_label_full,col_0,Giao dịch,Giao dịch_1,numeric__Giao dịch,numeric__Giao dịch_1
,,,2016Triệu VNDDoanh thu/(Chi phí),2015Triệu VNDDoanh thu/(Chi phí),,
MSB AMC – Công ty con,MSB AMC – Công ty con,MSB AMC – Công ty con,MSB AMC – Công ty con,MSB AMC – Công ty con,,
▪ Chi phí lãi tiền gửi,MSB AMC – Công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(846),(71),-846.0,-71.0
▪ Chi phí thuê nhà và hoạt động,MSB AMC – Công ty con > ▪ Chi phí thuê nhà và hoạt động,▪ Chi phí thuê nhà và hoạt động,(27.018),(30.422),-27018.0,-30422.0
▪ Chi phí nghiệp vụ ủy thác và đại lý,MSB AMC – Công ty con > ▪ Chi phí nghiệp vụ ủy thác và đại lý,▪ Chi phí nghiệp vụ ủy thác và đại lý,-,(415),,-415.0
▪ Thu nhập cho thuê văn phòng,MSB AMC – Công ty con > ▪ Thu nhập cho thuê văn phòng,▪ Thu nhập cho thuê văn phòng,17.342,15.290,17342.0,15290.0
▪ Lãi đầu tư chứng khoán,MSB AMC – Công ty con > ▪ Lãi đầu tư chứng khoán,▪ Lãi đầu tư chứng khoán,48.904,73.456,48904.0,73456.0
MSB FC – Công ty con,MSB FC – Công ty con,MSB FC – Công ty con,MSB FC – Công ty con,MSB FC – Công ty con,,
▪ Chi phí lãi tiền gửi,MSB FC – Công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(7.619),-,-7619.0,
Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) –Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) –Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) –Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) –Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) –Cổ đông lớn,,
▪ Chi phí lãi tiền gửi,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) –Cổ đông lớn > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(38.936),(36.353),-38936.0,-36353.0
Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này,,
"▪ Thù lao của thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Điều hành","Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này > ▪ Thù lao của thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Điều hành","▪ Thù lao của thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Điều hành",(65.439),(59.520),-65439.0,-59520.0
▪ Chi phí lãi tiền gửi,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(2.099),-,-2099.0,
▪ Thu nhập lãi tiền vay,Thành viên Hội đồng Quản trị và Ban Điều hành và những người có liên quan của các thành viên này > ▪ Thu nhập lãi tiền vay,▪ Thu nhập lãi tiền vay,2.911,-,2911.0,
