row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015(Triệu VND),Quá hạn dưới3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 năm đến 5 năm,Từ 3 năm,Tổng cộng,numeric__Quá hạn dưới3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 12 tháng,numeric__Từ 1 năm đến 5 năm,numeric__Từ 3 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.529.016,-,-,-,-,1.529.016,,,1529016.0,,,,,1529016.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,2.211.990,-,-,-,-,2.211.990,,,2211990.0,,,,,2211990.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,219.450,3.267.663,2.023.670,5.385.000,633.000,-,11.528.783,,219450.0,3267663.0,2023670.0,5385000.0,633000.0,,11528783.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,196.922,-,-,-,-,196.922,,,196922.0,,,,,196922.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.842.449,1.672.182,1.135.894,2.722.640,5.598.056,10.505.684,4.547.000,28.023.905,1842449.0,1672182.0,1135894.0,2722640.0,5598056.0,10505684.0,4547000.0,28023905.0
Mua nợ – gộp,Tài sản > Mua nợ – gộp,Mua nợ – gộp,45.714,52.123,1.965,454,1.477,3.858,1.616,107.207,45714.0,52123.0,1965.0,454.0,1477.0,3858.0,1616.0,107207.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,3.514.725,300.000,5.399.101,33.394.876,7.561.320,50.170.022,,,3514725.0,300000.0,5399101.0,33394876.0,7561320.0,50170022.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,797.527,797.527,,,,,,,797527.0,797527.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,801.402,801.402,,,,,,,801402.0,801402.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,214.000,162.890,212.950,8.844.882,914.721,231.916,118.720,10.700.079,214000.0,162890.0,212950.0,8844882.0,914721.0,231916.0,118720.0,10700079.0
,,,2.102.163,2.106.645,12.071.125,13.891.646,17.298.355,44.769.334,13.827.585,106.066.853,2102163.0,2106645.0,12071125.0,13891646.0,17298355.0,44769334.0,13827585.0,106066853.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ phải trả NHNN và Chính phủ,Nợ phải trả > Nợ phải trả NHNN và Chính phủ,Nợ phải trả NHNN và Chính phủ,-,-,631.457,4.359.199,1.860,-,34.954,5.027.470,,,631457.0,4359199.0,1860.0,,34954.0,5027470.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,8.418.768,5.918.232,3.556.190,-,-,17.893.190,,,8418768.0,5918232.0,3556190.0,,,17893190.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,25.992.401,11.769.846,22.011.502,2.804.396,45.515,62.623.660,,,25992401.0,11769846.0,22011502.0,2804396.0,45515.0,62623660.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(149.429),77.063,236.265,-,-,163.899,,,-149429.0,77063.0,236265.0,,,163899.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,137.000,137.000,,,,,,,137000.0,137000.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,500.000,297.331,2.500.000,3.297.331,,,,,500000.0,297331.0,2500000.0,3297331.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.102.673,276.814,651.181,18.931,4,2.049.603,,,1102673.0,276814.0,651181.0,18931.0,4.0,2049603.0
,,,-,-,35.995.870,22.401.154,26.956.998,3.120.658,2.717.473,91.192.153,,,35995870.0,22401154.0,26956998.0,3120658.0,2717473.0,91192153.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.102.163,2.106.645,(23.924.745),(8.509.508),(9.658.643),41.648.676,11.110.112,14.874.700,2102163.0,2106645.0,-23924745.0,-8509508.0,-9658643.0,41648676.0,11110112.0,14874700.0
