row_label_raw,row_label_full,USD,EUR,Tiền tệ khác và vàng,Tổng cộng,numeric__EUR,numeric__Tiền tệ khác và vàng,numeric__Tổng cộng
178.198,178.198,178.198,113.476,208.610,500.284,113476.0,208610.0,500284.0
527.173,527.173,527.173,-,-,527.173,,,527173.0
1.060.999,1.060.999,1.060.999,337.271,65.930,1.464.200,337271.0,65930.0,1464200.0
2.706.654,2.706.654,2.706.654,-,-,2.706.654,,,2706654.0
39.792,39.792,39.792,-,-,39.792,,,39792.0
126.702,126.702,126.702,2.069,8.973,137.744,2069.0,8973.0,137744.0
4.639.518,4.639.518,4.639.518,452.816,283.513,5.375.847,452816.0,283513.0,5375847.0
36.813,36.813,36.813,-,-,36.813,,,36813.0
4.349.022,4.349.022,4.349.022,259.389,676,4.609.087,259389.0,676.0,4609087.0
3.579.579,3.579.579,3.579.579,342.212,121.850,4.043.641,342212.0,121850.0,4043641.0
(2.648.635),(2.648.635),(2.648.635),(24.580),152.437,(2.520.778),-24580.0,152437.0,-2520778.0
67.654,67.654,67.654,343,179,68.176,343.0,179.0,68176.0
5.384.433,5.384.433,5.384.433,577.364,275.142,6.236.939,577364.0,275142.0,6236939.0
(744.915),(744.915),(744.915),(124.548),8.371,(861.092),-124548.0,8371.0,-861092.0
