row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Miền Bắc Triệu VND > Tại ngày 31 tháng 12 năm 2015,Miền Trung Triệu VND > Tại ngày 31 tháng 12 năm 2015,Miền Nam Triệu VND > Tại ngày 31 tháng 12 năm 2015,Tổng cộng Triệu VND > Tại ngày 31 tháng 12 năm 2015,numeric__Miền Bắc Triệu VND > Tại ngày 31 tháng 12 năm 2015,numeric__Miền Trung Triệu VND > Tại ngày 31 tháng 12 năm 2015,numeric__Miền Nam Triệu VND > Tại ngày 31 tháng 12 năm 2015,numeric__Tổng cộng Triệu VND > Tại ngày 31 tháng 12 năm 2015
Tài sản,Tài sản,Tài sản,91.860.840,1.272.111,11.646.538,104.779.489,91860840.0,1272111.0,11646538.0,104779489.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,78.386.915,1.230.298,11.574.940,91.192.153,78386915.0,1230298.0,11574940.0,91192153.0
Tài sản cố định – thuần,Tài sản cố định – thuần,Tài sản cố định – thuần,534.559,38.155,228.688,801.402,534559.0,38155.0,228688.0,801402.0
Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,Năm 2015,,,,
Doanh thu,Năm 2015 > Doanh thu,Doanh thu,10.448.637,185.251,2.078.458,12.712.346,10448637.0,185251.0,2078458.0,12712346.0
Chi phí,Năm 2015 > Chi phí,Chi phí,(9.720.248),(326.806),(2.500.471),(12.547.525),-9720248.0,-326806.0,-2500471.0,-12547525.0
Lợi nhuận trước thuế,Năm 2015 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,728.389,(141.555),(422.013),164.821,728389.0,-141555.0,-422013.0,164821.0
