row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,Tài sản cố địnhvô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyềnsử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__Tài sản cố địnhvô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,199.255,172.970,-,372.225,199255.0,172970.0,,372225.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,14.428,162.283,1.832,178.543,14428.0,162283.0,1832.0,178543.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(45.650),-,(45.650),,-45650.0,,-45650.0
Số dư tại ngày 31 tháng 12 năm 2015,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,213.683,289.603,1.832,505.118,213683.0,289603.0,1832.0,505118.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,4.453,95.427,-,99.880,4453.0,95427.0,,99880.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,1.166,118.299,607,120.072,1166.0,118299.0,607.0,120072.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(41.801),-,(41.801),,-41801.0,,-41801.0
Số dư tại ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,5.619,171.925,607,178.151,5619.0,171925.0,607.0,178151.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,194.802,77.543,-,272.345,194802.0,77543.0,,272345.0
Số dư tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,208.064,117.678,1.225,326.967,208064.0,117678.0,1225.0,326967.0
