row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,23.430,286.082,82.982,62.073,917,455.484,23430.0,286082.0,82982.0,62073.0,917.0,455484.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,13.425,90.300,41.441,25.755,44,170.965,13425.0,90300.0,41441.0,25755.0,44.0,170965.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(15),(5.164),(25.633),(978),(50),(31.840),-15.0,-5164.0,-25633.0,-978.0,-50.0,-31840.0
Số dư tại ngày 31 tháng 12 năm 2015,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,36.840,371.218,98.790,86.850,911,594.609,36840.0,371218.0,98790.0,86850.0,911.0,594609.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,9.516,164.115,35.058,40.771,646,250.106,9516.0,164115.0,35058.0,40771.0,646.0,250106.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,5.217,96.393,34.691,29.987,117,166.405,5217.0,96393.0,34691.0,29987.0,117.0,166405.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(10),(3.411),(15.517),(809),(46),(19.793),-10.0,-3411.0,-15517.0,-809.0,-46.0,-19793.0
Số dư tại ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,14.723,257.097,54.232,69.949,717,396.718,14723.0,257097.0,54232.0,69949.0,717.0,396718.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,13.914,121.967,47.924,21.302,271,205.378,13914.0,121967.0,47924.0,21302.0,271.0,205378.0
Số dư tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,22.117,114.121,44.558,16.901,194,197.891,22117.0,114121.0,44558.0,16901.0,194.0,197891.0
