row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016(Triệu VND),Quá hạn,Khônghương lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Trên 1 năm,Trên 5năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghương lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Trên 1 năm,numeric__Trên 5năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,1.868.266,,,,,,,,,1868266.0
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,-,1.868.266,-,-,-,-,-,-,1.545.216,,1868266.0,,,,,,,1545216.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,1.545.216,-,-,-,-,-,,,,1545216.0,,,,,,
Tiền gửi và cho vay các TCTDkhác – gộp,Tiền gửi và cho vay các TCTDkhác – gộp,Tiền gửi và cho vay các TCTDkhác – gộp,220.795,-,3.931.446,236.620,284.130,3.000.000,-,-,7.672.991,220795.0,,3931446.0,236620.0,284130.0,3000000.0,,,7672991.0
Tiền gửi và cho vay các TCTDkhác – gộp,Tiền gửi và cho vay các TCTDkhác – gộp,Tiền gửi và cho vay các TCTDkhác – gộp,220.795,164.014,-,-,-,-,-,-,164.014,220795.0,164014.0,,,,,,,164014.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,24.742.510,2.498.911,1.380.581,1.525.980,342.435,1.612.700,35.065.076,,,24742510.0,2498911.0,1380581.0,1525980.0,342435.0,1612700.0,35065076.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,2.961.959,-,2.574,2.291,40,-,-,-,89.262,2961959.0,,2574.0,2291.0,40.0,,,,89262.0
Mua nợ - gộp,Mua nợ - gộp,Mua nợ - gộp,84.357,-,-,-,-,-,-,-,33.387.620,84357.0,,,,,,,,33387620.0
Mua nợ - gộp,Mua nợ - gộp,Mua nợ - gộp,-,10.882.033,490.020,3.672.771,1.404.776,3.950.000,8.600.700,4.387.320,,,10882033.0,490020.0,3672771.0,1404776.0,3950000.0,8600700.0,4387320.0,
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,797.527,-,-,-,-,-,-,797.527,,797527.0,,,,,,,797527.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,627.672,-,-,-,-,-,-,627.672,,627672.0,,,,,,,627672.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,-,12.818.204,-,-,-,-,-,-,12.818.204,,12818204.0,,,,,,,12818204.0
Tài sản có khác – gộp,Tài sản có khác – gộp,Tài sản có khác – gộp,-,-,-,-,-,-,-,-,-,,,,,,,,,
,,,3.267.111,27.157.716,30.711.766,6.410.593,3.069.527,8.475.980,8.943.135,6.000.020,94.035.848,3267111.0,27157716.0,30711766.0,6410593.0,3069527.0,8475980.0,8943135.0,6000020.0,94035848.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Nợ phải trả NHNN và Chính phủ,Nợ phải trả > Nợ phải trả NHNN và Chính phủ,Nợ phải trả NHNN và Chính phủ,-,-,4.353.765,-,-,-,32.285,-,4.386.050,,,4353765.0,,,,32285.0,,4386050.0
