row_label_raw,row_label_full,col_0,Phân phối hàng năm,Số dư tối đa,numeric__Phân phối hàng năm,numeric__Số dư tối đa
Quỹ dự trữ bổ sung vốn cổ phần,Quỹ dự trữ bổ sung vốn cổ phần,Quỹ dự trữ bổ sung vốn cổ phần,5% lợi nhuận sau thuế,Vốn cổ phần,,
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,10% lợi nhuận sau thuế,25% vốn cổ phần,,
