row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư xây dựng cơ bản,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư xây dựng cơ bản,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,8.000.000,400.000,(114.512),3.290,401.816,73.518,607,645.700,9.410.419,8000000.0,400000.0,-114512.0,3290.0,401816.0,73518.0,607.0,645700.0,9410419.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,122.625,122.625,,,,,,,,122625.0,122625.0
Hoàn quỹ trong năm,Hoàn quỹ trong năm,Hoàn quỹ trong năm,-,-,-,-,(229),(115),-,344,-,,,,,-229.0,-115.0,,344.0,
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(419),-,-,-,-,-,(419),,,-419.0,,,,,,-419.0
Tăng do sáp nhập MDB,Tăng do sáp nhập MDB,Tăng do sáp nhập MDB,3.750.000,-,(49),107,104.019,52.722,1,150.445,4.057.245,3750000.0,,-49.0,107.0,104019.0,52722.0,1.0,150445.0,4057245.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(2.498),-,-,-,(2.498),,,,,-2498.0,,,,-2498.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,-,(36),(36),,,,,,,,-36.0,-36.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,11.750.000,400.000,(114.980),3.397,503.108,126.125,608,919.078,13.587.336,11750000.0,400000.0,-114980.0,3397.0,503108.0,126125.0,608.0,919078.0,13587336.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,11.750.000,400.000,(114.980),3.397,503.108,126.125,608,919.078,13.587.336,11750000.0,400000.0,-114980.0,3397.0,503108.0,126125.0,608.0,919078.0,13587336.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,145.416,145.416,,,,,,,,145416.0,145416.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(155.750),-,-,-,-,-,(155.750),,,-155750.0,,,,,,-155750.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,12.261,6.131,-,(18.392),-,,,,,12261.0,6131.0,,-18392.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(517),-,-,-,(517),,,,,-517.0,,,,-517.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,11.750.000,400.000,(270.730),3.397,514.852,132.256,608,1.046.102,13.576.485,11750000.0,400000.0,-270730.0,3397.0,514852.0,132256.0,608.0,1046102.0,13576485.0
