row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bị vănphòng,Tài sản cố địnhkhác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị vănphòng,numeric__Tài sản cố địnhkhác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,61.016.951,66.060.621,2.639.187,661.798,2.325.230,132.703.787,61016951.0,66060621.0,2639187.0,661798.0,2325230.0,132703787.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,374.644,152.771,235.610,101.386,864.411,,374644.0,152771.0,235610.0,101386.0,864411.0
Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Xây dựng cơ bản hoàn thành (Thuyết minh số 18),7.519.553,11.162.181,1.230.342,580.876,112.408,20.605.360,7519553.0,11162181.0,1230342.0,580876.0,112408.0,20605360.0
Phân loại từ bắt động sản đầu tư (Thuyết minh số 16),Nguyên giá: > Phân loại từ bắt động sản đầu tư (Thuyết minh số 16),Phân loại từ bắt động sản đầu tư (Thuyết minh số 16),49.671,9.344,-,-,-,59.015,49671.0,9344.0,,,,59015.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(56.047),(17.418.030),(217.507),(58.825),(71.336),(17.821.745),-56047.0,-17418030.0,-217507.0,-58825.0,-71336.0,-17821745.0
Phân loại sang bắt động sản đầu tư (Thuyết minh số 16),Nguyên giá: > Phân loại sang bắt động sản đầu tư (Thuyết minh số 16),Phân loại sang bắt động sản đầu tư (Thuyết minh số 16),(735.466),(139.678),-,-,-,(875.144),-735466.0,-139678.0,,,,-875144.0
Giảm do bán công ty con,Nguyên giá: > Giảm do bán công ty con,Giảm do bán công ty con,(2.459.087),(2.104.007),(102.031),(3.734),(294.975),(4.963.834),-2459087.0,-2104007.0,-102031.0,-3734.0,-294975.0,-4963834.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(333.839),518.887,1.138,(124.104),26.461,88.543,-333839.0,518887.0,1138.0,-124104.0,26461.0,88543.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,65.001.736,58.463.962,3.703.900,1.291.621,2.199.174,130.660.393,65001736.0,58463962.0,3703900.0,1291621.0,2199174.0,130660393.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,161.209,2.773.119,53.542,105.583,149.834,3.243.287,161209.0,2773119.0,53542.0,105583.0,149834.0,3243287.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,7.804.199,16.594.655,917.444,387.251,932.798,26.636.347,7804199.0,16594655.0,917444.0,387251.0,932798.0,26636347.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,2.250.560,6.628.864,309.021,171.028,264.064,9.623.537,2250560.0,6628864.0,309021.0,171028.0,264064.0,9623537.0
Phân loại từ bắt động sản đầu tư (Thuyết minh số 16),Giá trị khấu hao lũy kế: > Phân loại từ bắt động sản đầu tư (Thuyết minh số 16),Phân loại từ bắt động sản đầu tư (Thuyết minh số 16),888,8.994,-,-,-,9.882,888.0,8994.0,,,,9882.0
