row_label_raw,row_label_full,col_0,"Quyền sử dụngđất và nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Tổng cộng,"numeric__Quyền sử dụngđất và nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,36.616.482,6.936.484,43.552.966,36616482.0,6936484.0,43552966.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.871.651,5.179,1.876.830,1871651.0,5179.0,1876830.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),2.279.131,382.970,2.662.101,2279131.0,382970.0,2662101.0
Phân loại từ tài sản cố định hữu hình(Thuyết minh số 14),Nguyên giá: > Phân loại từ tài sản cố định hữu hình(Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình(Thuyết minh số 14),735.466,139.678,875.144,735466.0,139678.0,875144.0
Phân loại sang tài sản cố định hữuhình (Thuyết minh số 14),Nguyên giá: > Phân loại sang tài sản cố định hữuhình (Thuyết minh số 14),Phân loại sang tài sản cố định hữuhình (Thuyết minh số 14),(49.671),(9.344),(59.015),-49671.0,-9344.0,-59015.0
Giảm do bán công ty con,Nguyên giá: > Giảm do bán công ty con,Giảm do bán công ty con,(312.507),-,(312.507),-312507.0,,-312507.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(49.966),(10.469),(60.435),-49966.0,-10469.0,-60435.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(326.531),237.339,(89.192),-326531.0,237339.0,-89192.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,40.764.055,7.681.837,48.445.892,40764055.0,7681837.0,48445892.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,220.120,449.013,669.133,220120.0,449013.0,669133.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,5.428.716,2.990.992,8.419.708,5428716.0,2990992.0,8419708.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,941.800,682.561,1.624.361,941800.0,682561.0,1624361.0
Phân loại từ tài sản cố định hữu hình(Thuyết minh số 14),Giá trị khấu hao lũy kế: > Phân loại từ tài sản cố định hữu hình(Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình(Thuyết minh số 14),104.211,76.136,180.347,104211.0,76136.0,180347.0
Phân loại sang tài sản cố định hừuhình (Thuyết minh số 14),Giá trị khấu hao lũy kế: > Phân loại sang tài sản cố định hừuhình (Thuyết minh số 14),Phân loại sang tài sản cố định hừuhình (Thuyết minh số 14),(888),(8.994),(9.882),-888.0,-8994.0,-9882.0
Giảm do bán công ty con,Giá trị khấu hao lũy kế: > Giảm do bán công ty con,Giảm do bán công ty con,(68.851),-,(68.851),-68851.0,,-68851.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.842),(1.027),(6.869),-5842.0,-1027.0,-6869.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(69.616),69.616,-,-69616.0,69616.0,
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,6.329.530,3.809.284,10.138.814,6329530.0,3809284.0,10138814.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,31.187.766,3.945.492,35.133.258,31187766.0,3945492.0,35133258.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,34.434.525,3.872.553,38.307.078,34434525.0,3872553.0,38307078.0
