row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,2.376.032,(63.227),985.886,(16.408),2376032.0,-63227.0,985886.0,-16408.0
Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,76.358.348,-,37.588.078,-,76358348.0,,37588078.0,
Chi phí sản xuất kinh doanh dở dang liên quan đến việc cung cấp dịch vụ xây dựng,Chi phí sản xuất kinh doanh dở dang liên quan đến việc cung cấp dịch vụ xây dựng,Chi phí sản xuất kinh doanh dở dang liên quan đến việc cung cấp dịch vụ xây dựng,1.233.851,-,1.480.846,-,1233851.0,,1480846.0,
Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,3.625.278,(553.462),990.285,(217.869),3625278.0,-553462.0,990285.0,-217869.0
Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,4.202.361,(1.222.721),1.836.693,(501.204),4202361.0,-1222721.0,1836693.0,-501204.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,13.381.519,(3.340.590),6.356.016,(1.189.254),13381519.0,-3340590.0,6356016.0,-1189254.0
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,1.498.762,(157.480),800.825,(84.832),1498762.0,-157480.0,800825.0,-84832.0
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,1.347.903,(99.067),2.495.685,(99.422),1347903.0,-99067.0,2495685.0,-99422.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,104.024.054,(5.436.547),52.534.314,(2.108.989),104024054.0,-5436547.0,52534314.0,-2108989.0
