row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, chi phí phát triển và các tài sản khác",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, chi phí phát triển và các tài sản khác",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,533.835,3.673.032,25.136.623,1.968.129,31.311.619,533835.0,3673032.0,25136623.0,1968129.0,31311619.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,227.432,36.095,21.657,285.184,,227432.0,36095.0,21657.0,285184.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),-,856.802,11.369.171,220.853,12.446.826,,856802.0,11369171.0,220853.0,12446826.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(62.558),(11.733.176),-,(11.795.734),,-62558.0,-11733176.0,,-11795734.0
Giảm do bán công ty con,Nguyên giá: > Giảm do bán công ty con,Giảm do bán công ty con,(973),(1.082.104),(7.891),(2.691),(1.093.659),-973.0,-1082104.0,-7891.0,-2691.0,-1093659.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(3.363),16.060,33.041,48,45.786,-3363.0,16060.0,33041.0,48.0,45786.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,529.499,3.628.664,24.833.863,2.207.996,31.200.022,529499.0,3628664.0,24833863.0,2207996.0,31200022.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,455.771,8.672.045,54.752,9.182.568,,455771.0,8672045.0,54752.0,9182568.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,112.357,1.326.604,5.031.048,213.091,6.683.100,112357.0,1326604.0,5031048.0,213091.0,6683100.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,17.234,665.003,8.712.546,233.097,9.627.880,17234.0,665003.0,8712546.0,233097.0,9627880.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(49.558),(3.176.255),-,(3.225.813),,-49558.0,-3176255.0,,-3225813.0
Giảm do bán công ty con,Giá trị hao mòn lũy kế: > Giảm do bán công ty con,Giảm do bán công ty con,(973),(287.127),(1.958),(1.307),(291.365),-973.0,-287127.0,-1958.0,-1307.0,-291365.0
Thay đổi khác,Giá trị hao mòn lũy kế: > Thay đổi khác,Thay đổi khác,-,7.067,1.371,-,8.438,,7067.0,1371.0,,8438.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,128.618,1.661.989,10.566.752,444.881,12.802.240,128618.0,1661989.0,10566752.0,444881.0,12802240.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,421.478,2.346.428,20.105.575,1.755.038,24.628.519,421478.0,2346428.0,20105575.0,1755038.0,24628519.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,400.881,1.966.675,14.267.111,1.763.115,18.397.782,400881.0,1966675.0,14267111.0,1763115.0,18397782.0
