row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Trích trước chi phí xây dựng bất động sản, các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao","Ngắn hạn > Trích trước chi phí xây dựng bất động sản, các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao","Trích trước chi phí xây dựng bất động sản, các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao",27.960.684,17.543.882,27960684.0,17543882.0
Chi phí bán hàng trích trước,Ngắn hạn > Chi phí bán hàng trích trước,Chi phí bán hàng trích trước,5.546.415,3.427.101,5546415.0,3427101.0
Chi phí lãi vay trích trước,Ngắn hạn > Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,1.544.987,1.114.991,1544987.0,1114991.0
Lợi nhuận cam kết trích trước theo chương trình quản lý biệt thụ và căn hộ khách sạn,Ngắn hạn > Lợi nhuận cam kết trích trước theo chương trình quản lý biệt thụ và căn hộ khách sạn,Lợi nhuận cam kết trích trước theo chương trình quản lý biệt thụ và căn hộ khách sạn,1.598.130,1.693.792,1598130.0,1693792.0
Các khoản chi phí phải trả khác,Ngắn hạn > Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,3.722.457,2.503.051,3722457.0,2503051.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,40.372.673,26.282.817,40372673.0,26282817.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả cho bên liên quan(Thuyết minh số 37),Trong đó: > Chi phí phải trả cho bên liên quan(Thuyết minh số 37),Chi phí phải trả cho bên liên quan(Thuyết minh số 37),217.505,-,217505.0,
Chi phí phải trả cho các đối tác khác,Trong đó: > Chi phí phải trả cho các đối tác khác,Chi phí phải trả cho các đối tác khác,40.155.168,26.282.817,40155168.0,26282817.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay trích trước,Dài hạn > Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,392.464,1.603.372,392464.0,1603372.0
Các khoản chi phí phải trả khác,Dài hạn > Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,95.549,54.607,95549.0,54607.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,488.013,1.657.979,488013.0,1657979.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả cho bên liên quan(Thuyết minh số 37),Trong đó: > Chi phí phải trả cho bên liên quan(Thuyết minh số 37),Chi phí phải trả cho bên liên quan(Thuyết minh số 37),147.200,726.711,147200.0,726711.0
Chi phí phải trả cho các đối tác khác,Trong đó: > Chi phí phải trả cho các đối tác khác,Chi phí phải trả cho các đối tác khác,340.813,931.268,340813.0,931268.0
