row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,6.045.822,4.133.364,6045822.0,4133364.0
- Chi phí nhân viên bán hàng,Chi phí bán hàng > - Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,1.896.274,1.531.471,1896274.0,1531471.0
- Chi phí dự phòng bảo hành,Chi phí bán hàng > - Chi phí dự phòng bảo hành,- Chi phí dự phòng bảo hành,685.550,51.289,685550.0,51289.0
"- Chi phí khấu hao, hao mòn tài sản cố định","Chi phí bán hàng > - Chi phí khấu hao, hao mòn tài sản cố định","- Chi phí khấu hao, hao mòn tài sản cố định",204.484,117.919,204484.0,117919.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,538.967,1.075.865,538967.0,1075865.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,9.371.097,6.909.908,9371097.0,6909908.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,4.211.134,3.652.450,4211134.0,3652450.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,2.845.756,3.048.045,2845756.0,3048045.0
- Chi phí nghiên cứu và phát triển (i),Chi phí quản lý doanh nghiệp > - Chi phí nghiên cứu và phát triển (i),- Chi phí nghiên cứu và phát triển (i),2.612.476,4.662.419,2612476.0,4662419.0
- Trích lập dự phòng (ii),Chi phí quản lý doanh nghiệp > - Trích lập dự phòng (ii),- Trích lập dự phòng (ii),2.111.962,4.013.034,2111962.0,4013034.0
- Chi phí hỗ trợ và từ thiện,Chi phí quản lý doanh nghiệp > - Chi phí hỗ trợ và từ thiện,- Chi phí hỗ trợ và từ thiện,1.302.821,6.042.109,1302821.0,6042109.0
"- Chi phí khấu hao, hao mòn tài sản cố định vàphản bổ lợi thế thương mại","Chi phí quản lý doanh nghiệp > - Chi phí khấu hao, hao mòn tài sản cố định vàphản bổ lợi thế thương mại","- Chi phí khấu hao, hao mòn tài sản cố định vàphản bổ lợi thế thương mại",1.218.041,1.415.701,1218041.0,1415701.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,1.651.459,1.200.701,1651459.0,1200701.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,15.953.649,24.034.459,15953649.0,24034459.0
