row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,,,,
Cán trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến nhận chuyển nhượng cổ phần,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ: > Cán trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến nhận chuyển nhượng cổ phần,Cán trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến nhận chuyển nhượng cổ phần,24.208.340,-,24208340.0,
Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,,,,
Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,54.719.418,31.188.988,54719418.0,31188988.0
Tiền thu từ phát hành trái phiếu thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,22.978.275,18.250.508,22978275.0,18250508.0
Tiền thu từ phát hành trái phiếu hoán đổi,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu hoán đổi,Tiền thu từ phát hành trái phiếu hoán đổi,-,20.827.336,,20827336.0
Số tiền đã thực trả gốc vay trong năm: (*),Số tiền đã thực trả gốc vay trong năm: (*),Số tiền đã thực trả gốc vay trong năm: (*),,,,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(33.602.808),(41.704.434),-33602808.0,-41704434.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(13.684.455),(21.573.455),-13684455.0,-21573455.0
Tiền mua lại trái phiếu hoán đổi,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền mua lại trái phiếu hoán đổi,Tiền mua lại trái phiếu hoán đổi,-,(56.376),,-56376.0
