row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,2.159.171,444.656,2159171.0,444656.0
Chi phí trả trước liên quan các khoản vay và trái phiếu,Ngắn hạn > Chi phí trả trước liên quan các khoản vay và trái phiếu,Chi phí trả trước liên quan các khoản vay và trái phiếu,281.269,116.177,281269.0,116177.0
"Chi phí công cụ, dụng cụ","Ngắn hạn > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",103.557,77.852,103557.0,77852.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,708.608,661.181,708608.0,661181.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.252.605,1.299.866,3252605.0,1299866.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Chi phí thuê đất trả trước,Dải hạn > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,3.385.958,3.327.419,3385958.0,3327419.0
"Chi phí công cụ, dụng cụ","Dải hạn > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.810.010,1.007.858,1810010.0,1007858.0
Chi phí sửa chữa lớn,Dải hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,476.370,601.524,476370.0,601524.0
Chi phí trước hoạt động,Dải hạn > Chi phí trước hoạt động,Chi phí trước hoạt động,109.334,364.681,109334.0,364681.0
Chi phí trả trước dài hạn khác,Dải hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,246.821,413.494,246821.0,413494.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,6.028.493,5.714.976,6028493.0,5714976.0
