row_label_raw,row_label_full,col_0,Số đầu năm,Thay đổi trong năm > Phát hành thêm,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,Thay đổi trong năm > Mua lại trái phiếu,Đơn vị tính: USD > Số cuối năm,numeric__Số đầu năm,numeric__Thay đổi trong năm > Phát hành thêm,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,numeric__Thay đổi trong năm > Mua lại trái phiếu,numeric__Đơn vị tính: USD > Số cuối năm
Trái phiếu hoán đổi,Trái phiếu hoán đổi,Trái phiếu hoán đổi,425.000.000,-,-,-,425.000.000,425000000.0,,,,425000000.0
,,,,,,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,,
,,,,,,Năm nay,Năm trước,,,,,
Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,,,,9.501.445,14.883.555,,,,9501445.0,14883555.0
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,,,,-,-,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,,,,9.501.445,14.883.555,,,,9501445.0,14883555.0
Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế Số đầu năm,Cơ cấu vốn chủ sở hữu > Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế Số đầu năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế Số đầu năm,,,,13.695,64.901,,,,13695.0,64901.0
Số phân bổ tăng trong năm,Cơ cấu vốn chủ sở hữu > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,,,,42.724,92.063,,,,42724.0,92063.0
Số cuối năm,Cơ cấu vốn chủ sở hữu > Số cuối năm,Số cuối năm,,,,56.419,156.964,,,,56419.0,156964.0
Cộng: Lỗ/(lãi) chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cơ cấu vốn chủ sở hữu > Cộng: Lỗ/(lãi) chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lỗ/(lãi) chênh lệch tỷ giá đánh giá lại số dư cuối năm,,,,309.106,(26.645),,,,309106.0,-26645.0
Mua lại trái phiếu,Cơ cấu vốn chủ sở hữu > Mua lại trái phiếu,Mua lại trái phiếu,,,,-,(55.116),,,,,-55116.0
Hoán đổi thành cổ phiếu,Cơ cấu vốn chủ sở hữu > Hoán đổi thành cổ phiếu,Hoán đổi thành cổ phiếu,,,,-,(5.470.263),,,,,-5470263.0
Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,,,,9.866.970,9.488.495,,,,9866970.0,9488495.0
