row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (i)","Ngắn hạn > Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (i)","Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (i)",39.129.586,29.267.571,39129586.0,29267571.0
Nhận góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh với các đối tác,Ngắn hạn > Nhận góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh với các đối tác,Nhận góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh với các đối tác,13.331.422,-,13331422.0,
Đặt cọc cho hoạt động đầu tư,Ngắn hạn > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,7.659.044,3.386.830,7659044.0,3386830.0
Quỹ bảo trì căn hộ (ii),Ngắn hạn > Quỹ bảo trì căn hộ (ii),Quỹ bảo trì căn hộ (ii),2.241.767,2.471.719,2241767.0,2471719.0
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Ngắn hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo",561.557,556.451,561557.0,556451.0
Phải trả ngắn hạn khác,Ngắn hạn > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,4.998.097,4.879.022,4998097.0,4879022.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,67.921.473,40.561.593,67921473.0,40561593.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 37),Trong đó: > Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 37),Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 37),135.059,1.013.654,135059.0,1013654.0
Phải trả ngắn hạn khác cho các đối tác khác,Trong đó: > Phải trả ngắn hạn khác cho các đối tác khác,Phải trả ngắn hạn khác cho các đối tác khác,67.786.414,39.547.939,67786414.0,39547939.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng","Dài hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng",1.468.294,1.352.921,1468294.0,1352921.0
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Dài hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo",(561.557),(556.451),-561557.0,-556451.0
Phải trả dài hạn khác,Dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,1.053.768,853.701,1053768.0,853701.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.960.505,1.650.171,1960505.0,1650171.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 37),Trong đó: > Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 37),Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 37),-,112.883,,112883.0
Phải trả dài hạn khác cho các đối tác khác,Trong đó: > Phải trả dài hạn khác cho các đối tác khác,Phải trả dài hạn khác cho các đối tác khác,1.960.505,1.537.288,1960505.0,1537288.0
