row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%)_1,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,Hoạt động chính,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ lợi ích (%)_1,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1,numeric__Hoạt động chính
Tên công ty,Tên công ty,Tên công ty,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,Hoạt động chính,,,,,
"Công ty TNHH Giải pháp Năng Lượng Công nghệ cao V-G (""Công ty V-G"")","Tên công ty > Công ty TNHH Giải pháp Năng Lượng Công nghệ cao V-G (""Công ty V-G"")","Công ty TNHH Giải pháp Năng Lượng Công nghệ cao V-G (""Công ty V-G"")","24,99",-,"49,00",-,Sản xuất pin và ắc quy,24.99,,49.0,,
"Công ty TNHH Sản xuất Pin Lithium VinFast (""Công ty Pin Lithium VinFast"")","Tên công ty > Công ty TNHH Sản xuất Pin Lithium VinFast (""Công ty Pin Lithium VinFast"")","Công ty TNHH Sản xuất Pin Lithium VinFast (""Công ty Pin Lithium VinFast"")","53,72","43,77","65,00","65,00",Sản xuất pin và ắc quy,53.72,43.77,65.0,65.0,
"Công ty TNHH Khai thác và Chế biến đá Tường Phú (""Công ty Tường Phú"")","Tên công ty > Công ty TNHH Khai thác và Chế biến đá Tường Phú (""Công ty Tường Phú"")","Công ty TNHH Khai thác và Chế biến đá Tường Phú (""Công ty Tường Phú"")","27,05","28,38","40,00","40,00",Khai thác khoáng sản,27.05,28.38,40.0,40.0,
"Công ty Cổ phần Genestory (""Công ty Genestory"")","Tên công ty > Công ty Cổ phần Genestory (""Công ty Genestory"")","Công ty Cổ phần Genestory (""Công ty Genestory"")","45,32",-,"45,32",-,Nghiên cứu khoa học và phát triển công nghệ,45.32,,45.32,,
"Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","Tên công ty > Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","37,63","26,34","37,63","37,63",Chăn nuôi gia súc,37.63,26.34,37.63,37.63,
"Công ty Cổ phần Du lịch Cá Tầm (""Công ty Cá Tầm"")","Tên công ty > Công ty Cổ phần Du lịch Cá Tầm (""Công ty Cá Tầm"")","Công ty Cổ phần Du lịch Cá Tầm (""Công ty Cá Tầm"")","33,75",-,"48,67",-,"Đầu tư, xây dựng và kinh doanh bất động sản",33.75,,48.67,,
"Công ty Cổ phần Đầu tư Hiệp Thành Công (""Công ty Hiệp Thành Công"")","Tên công ty > Công ty Cổ phần Đầu tư Hiệp Thành Công (""Công ty Hiệp Thành Công"")","Công ty Cổ phần Đầu tư Hiệp Thành Công (""Công ty Hiệp Thành Công"")","33,98",-,"49,00",-,"Đầu tư, xây dựng và kinh doanh bất động sản",33.98,,49.0,,
"Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","Tên công ty > Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","18,13","18,13","27,76","27,76",In ấn,18.13,18.13,27.76,27.76,
"Công ty TNHH Công nghệ Vin-ACE (""Công ty Công nghệ Vin-ACE"")","Tên công ty > Công ty TNHH Công nghệ Vin-ACE (""Công ty Công nghệ Vin-ACE"")","Công ty TNHH Công nghệ Vin-ACE (""Công ty Công nghệ Vin-ACE"")","33,06","26,94","40,00","40,00",Sản xuất linh kiện điện tử và thiết bị truyền thông,33.06,26.94,40.0,40.0,
