row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,34.447.691,35.411.957,7.235.206,(2.284.059),(42.408),67.845,4.359.645,57.169.438,136.365.315,34447691.0,35411957.0,7235206.0,-2284059.0,-42408.0,67845.0,4359645.0,57169438.0,136365315.0
- Lỗ thuần trong năm,Năm trước > - Lỗ thuần trong năm,- Lỗ thuần trong năm,-,-,-,-,-,-,(2.513.883),(5.044.281),(7.558.164),,,,,,,-2513883.0,-5044281.0,-7558164.0
- Tái phát hành cổ phiếu quỹ,Năm trước > - Tái phát hành cổ phiếu quỹ,- Tái phát hành cổ phiếu quỹ,-,4.408.638,-,939.936,-,-,-,84.998,5.433.572,,4408638.0,,939936.0,,,,84998.0,5433572.0
- Trả cổ tức bằng cổ phiếu,Năm trước > - Trả cổ tức bằng cổ phiếu,- Trả cổ tức bằng cổ phiếu,4.227.842,-,6.967.448,-,-,-,(11.195.290),-,-,4227842.0,,6967448.0,,,,-11195290.0,,
- Công ty con tăng vốn từ lợi nhuận chưa phân phối,Năm trước > - Công ty con tăng vốn từ lợi nhuận chưa phân phối,- Công ty con tăng vốn từ lợi nhuận chưa phân phối,-,-,4.279.218,-,-,-,(4.279.218),-,-,,,4279218.0,,,,-4279218.0,,
- Mua công ty con mới,Năm trước > - Mua công ty con mới,- Mua công ty con mới,-,-,-,-,-,-,-,159.903,159.903,,,,,,,,159903.0,159903.0
"- Chuyển nhượng, giải thể công ty con","Năm trước > - Chuyển nhượng, giải thể công ty con","- Chuyển nhượng, giải thể công ty con",-,-,-,-,-,-,-,376.543,376.543,,,,,,,,376543.0,376543.0
- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát,Năm trước > - Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát,- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát,-,242.578,-,-,-,-,18.355.549,(2.307.443),16.290.684,,242578.0,,,,,18355549.0,-2307443.0,16290684.0
- Góp vốn từ cổ đông không kiểm soát,Năm trước > - Góp vốn từ cổ đông không kiểm soát,- Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,-,-,10.382.468,10.382.468,,,,,,,,10382468.0,10382468.0
"- Cổ tức, lợi nhuận chia bởi các công ty con cho cổ đông không kiểm soát","Năm trước > - Cổ tức, lợi nhuận chia bởi các công ty con cho cổ đông không kiểm soát","- Cổ tức, lợi nhuận chia bởi các công ty con cho cổ đông không kiểm soát",-,-,-,-,-,-,-,(1.718.207),(1.718.207),,,,,,,,-1718207.0,-1718207.0
- Trích quỹ khác,Năm trước > - Trích quỹ khác,- Trích quỹ khác,-,-,-,-,-,10.000,(8.680),(1.320),-,,,,,,10000.0,-8680.0,-1320.0,
- Thay đổi khác,Năm trước > - Thay đổi khác,- Thay đổi khác,-,-,-,-,(155.998),-,-,(4.250),(160.248),,,,,-155998.0,,,-4250.0,-160248.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,38.675.533,40.063.173,18.481.872,(1.344.123),(198.406),77.845,4.718.123,59.097.849,159.571.866,38675533.0,40063173.0,18481872.0,-1344123.0,-198406.0,77845.0,4718123.0,59097849.0,159571866.0
