row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: triệu VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: triệu VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9)
Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,Công ty liên doanh,Phải thu từ các hợp đồng cho thuê tài chính,71.297,-,,,71297.0,
Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,Công ty liên doanh,Phải thu từ các hợp đồng cho thuê tài chính,71.297,-,,,71297.0,
Tài sản ngắn hạn khác (Thuyết minh số 13),Tài sản ngắn hạn khác (Thuyết minh số 13),Tài sản ngắn hạn khác (Thuyết minh số 13),Tài sản ngắn hạn khác (Thuyết minh số 13),Tài sản ngắn hạn khác (Thuyết minh số 13),Tài sản ngắn hạn khác (Thuyết minh số 13),Tài sản ngắn hạn khác (Thuyết minh số 13),,,,
Cá nhân số 11,Tài sản ngắn hạn khác (Thuyết minh số 13) > Cá nhân số 11,Cá nhân số 11,Thành viên HĐQT một công ty con,Đặt cọc mua cổ phần,343.170,-,,,343170.0,
Cá nhân số 7,Tài sản ngắn hạn khác (Thuyết minh số 13) > Cá nhân số 7,Cá nhân số 7,Thành viên mật thiết trong gia đình của cổ đông lớn,Đặt cọc mua cổ phần,-,316.000,,,,316000.0
Các cá nhân liên quan khác,Tài sản ngắn hạn khác (Thuyết minh số 13) > Các cá nhân liên quan khác,Các cá nhân liên quan khác,Bên liên quan khác,Đặt cọc mua cổ phần,24.486,227.000,,,24486.0,227000.0
Các cá nhân liên quan khác,Tài sản ngắn hạn khác (Thuyết minh số 13) > Các cá nhân liên quan khác,Các cá nhân liên quan khác,Bên liên quan khác,Đặt cọc mua cổ phần,367.656,543.000,,,367656.0,543000.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Đô Thị Xanh,Người mua trả tiền trước ngắn hạn > Công ty Đô Thị Xanh,Công ty Đô Thị Xanh,Công ty cứng thành viên quản lý chủ chốt,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,3.294.233,-,,,3294233.0,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Công ty cứng thành viên quản lý chủ chốt,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,2.899.468,-,,,2899468.0,
Công ty VMI,Người mua trả tiền trước ngắn hạn > Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,1.956.036,-,,,1956036.0,
Công ty VMI,Người mua trả tiền trước ngắn hạn > Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,8.149.737,-,,,8149737.0,
