row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,36.539.334,19.648.464,36539334.0,19648464.0
- Một đối tác doanh nghiệp (*),- Một đối tác doanh nghiệp (*),- Một đối tác doanh nghiệp (*),7.134.689,107.019,7134689.0,107019.0
- Phải trả các nhà cung cấp khác,- Phải trả các nhà cung cấp khác,- Phải trả các nhà cung cấp khác,29.404.645,19.541.445,29404645.0,19541445.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,36.539.334,19.648.464,36539334.0,19648464.0
