row_label_raw,row_label_full,"Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Kỹ Thương Việt NamTrong đó: Trái phiếu dài hạn đến hạn trảNgân hàng The Bank of New York Mellon, London Branch và ngân hàng The Bank of New York Mellon SA/NV, Dublin Branch (*)Ngân hàng The HongKong and Shanghai Banking Corporation Limited (**)",Nguyên tệ > VND > USD,Số cuối năm(triệu VND) > 41.533.654 > 9.192.847 > 11.620.830 > 14.432.331,Ngày đảo hạn > Từ tháng 4 năm 2023đến tháng 11 năm 2026 > Tháng 4 năm 2026 > Tháng 5 năm 2027,"Lãi suất > Lãi suất thả nổi, lãi suất trong năm từ8,1% đến 11,925%/năm. Lãi suất cốđịnh 8,5%/năm > Lãi suất cố định 3%/năm > Lãi suất cố định 4%/năm","Tài sảnđảm bảo > (i),(ii) > (i) > (ii)",numeric__Nguyên tệ > VND > USD,numeric__Số cuối năm(triệu VND) > 41.533.654 > 9.192.847 > 11.620.830 > 14.432.331,numeric__Ngày đảo hạn > Từ tháng 4 năm 2023đến tháng 11 năm 2026 > Tháng 4 năm 2026 > Tháng 5 năm 2027,"numeric__Lãi suất > Lãi suất thả nổi, lãi suất trong năm từ8,1% đến 11,925%/năm. Lãi suất cốđịnh 8,5%/năm > Lãi suất cố định 3%/năm > Lãi suất cố định 4%/năm","numeric__Tài sảnđảm bảo > (i),(ii) > (i) > (ii)"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,67.586.815,,,,,67586815.0,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,,58.393.968,,,,,58393968.0,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,,9.192.847,,,,,9192847.0,,,
