row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Công ty VMI,Công ty VMI,Công ty VMI,Cùng chủ sở hữu,"Đầu tư, góp vốn",1.800.000,-,,,1800000.0,
Công ty VMI,Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Phải trả liên quan đến phí dịch vụ môi giới,217.505,-,,,217505.0,
Cá nhân số 1,Cá nhân số 1,Cá nhân số 1,Thành viên HĐQT một công ty con đến ngày 15 tháng 9 năm 2022,Đặt cọc cho mục đích chuyển nhượng quyền sử dụng đất,6.000.000,-,,,6000000.0,
Cá nhân số 1,Cá nhân số 1,Cá nhân số 1,Thành viên HĐQT một công ty con đến ngày 15 tháng 9 năm 2022,Phải thu liên quan đến chuyển nhượng cổ phần,136.500,-,,,136500.0,
Cá nhân số 2,Cá nhân số 2,Cá nhân số 2,Thành viên mật thiết trong gia đình của cá nhân quản lý công ty con,Phải thu liên quan đến chuyển nhượng cổ phần,869.400,-,,,869400.0,
Cá nhân số 3,Cá nhân số 3,Cá nhân số 3,Thành viên HĐQT một công ty con đến ngày 5 tháng 8 năm 2022,Phải trả liên quan đến nhận chuyển nhượng cổ phần,1.863.000,-,,,1863000.0,
Cá nhân số 3,Cá nhân số 3,Cá nhân số 3,Thành viên HĐQT một công ty con đến ngày 5 tháng 8 năm 2022,Phải thu liên quan đến chuyển nhượng cổ phần,1.029.000,-,,,1029000.0,
Cá nhân số 4,Cá nhân số 4,Cá nhân số 4,Chủ tịch HĐQT một công ty con,Phải trả liên quan đến nhận chuyển nhượng cổ phần,4.260.600,-,,,4260600.0,
Cá nhân số 5,Cá nhân số 5,Cá nhân số 5,Thành viên HĐQT một công ty con đến ngày 11 tháng 11 năm 2022,Phải trả liên quan đến nhận chuyển nhượng cổ phần,447.500,-,,,447500.0,
Cá nhân số 5,Cá nhân số 5,Cá nhân số 5,Thành viên HĐQT một công ty con đến ngày 11 tháng 11 năm 2022,Phải thu liên quan đến chuyển nhượng cổ phần,345.716,-,,,345716.0,
Cá nhân số 5,Cá nhân số 5,Cá nhân số 5,Thành viên HĐQT một công ty con đến ngày 11 tháng 11 năm 2022,Đặt cọc mua cổ phần,-,149.000,,,,149000.0
Cá nhân số 6,Cá nhân số 6,Cá nhân số 6,Thành viên HĐQT một công ty con đến ngày 1 tháng 7 năm 2022,Đặt cọc cho mục đích chuyển nhượng quyền sử dụng đất,4.045.000,-,,,4045000.0,
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Hỗ trợ bảo hành xeGóp vốn vào công ty con,350.000,-,,,350000.0,
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Hỗ trợ bảo hành xeGóp vốn vào công ty con,-,1.557.463,,,,1557463.0
Cá nhân số 7,Cá nhân số 7,Cá nhân số 7,Thành viên mật thiết trong gia đình của cổ đông lớn,Đặt cọc mua cổ phần,-,316.000,,,,316000.0
Cá nhân số 8,Cá nhân số 8,Cá nhân số 8,Thành viên mật thiết trong gia đình của cổ đông lớn,Góp vốn vào công ty conĐặt cọc mua cổ phần,-,900.400,,,,900400.0
Cá nhân số 8,Cá nhân số 8,Cá nhân số 8,Thành viên mật thiết trong gia đình của cổ đông lớn,Góp vốn vào công ty conĐặt cọc mua cổ phần,-,57.000,,,,57000.0
Cá nhân số 9,Cá nhân số 9,Cá nhân số 9,Phó chủ tịch HĐQT,Nhận chuyển nhượng cổ phần trong Công ty VMI,900.000,-,,,900000.0,
