row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Đơn vị tính: triệu VND > Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Đơn vị tính: triệu VND > Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Đơn vị tính: triệu VND > Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Đơn vị tính: triệu VND > Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23)
Công ty VMI,Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Phải trả liên quan đến dịch vụ môi giới,217.505,-,,,217505.0,
,,,,,217.505,-,,,217505.0,
Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),,,,
Công ty Đô Thị Xanh,Chi phí phải trả dài hạn (Thuyết minh số 23) > Công ty Đô Thị Xanh,Công ty Đô Thị Xanh,Công ty cứng thành viên quản lý chủ chốt,Phải trả liên quan đến lãi vay,147.200,726.711,,,147200.0,726711.0
,,,,,147.200,726.711,,,147200.0,726711.0
Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),,,,
Công ty VMI,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Đặt cọc cho hoạt động chuyển nhượng bắt động sản,135.059,-,,,135059.0,
Công ty Nam An,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Nam An,Công ty Nam An,Công ty được sở hữu bởi cá nhân là bên liên quan đến ngày 15 tháng 12 năm 2022,Đặt cọc cho hợp đồng cung cấp dịch vụ quản lý biệt thực biển,-,1.013.654,,,,1013654.0
,,,,,135.059,1.013.654,,,135059.0,1013654.0
Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),,,,
Cá nhân số 5,Phải trả dài hạn khác (Thuyết minh số 25) > Cá nhân số 5,Cá nhân số 5,Thành viên HĐQT một công ty con đến ngày 11 tháng 11 năm 2022,Đặt cọc cho mục đích bảo lãnh,-,112.883,,,,112883.0
,,,,,-,112.883,,,,112883.0
