row_label_raw,row_label_full,Bên nhận đầu tư,Cam kết góp vốn của Công ty,Cam kết góp vốn của Công ty_1,Số vốn thực góp,Số vốn chưa góp,numeric__Cam kết góp vốn của Công ty,numeric__Cam kết góp vốn của Công ty_1,numeric__Số vốn thực góp,numeric__Số vốn chưa góp
Bên nhận đầu tư,Bên nhận đầu tư,Bên nhận đầu tư,Số tiền,Tỷ lệ,Số tiền,Số tiền,,,,
,,,Triệu VND,%,Triệu VND,Triệu VND,,,,
Công ty V-G,Bên nhận đầu tư > Công ty V-G,Công ty V-G,620.254,"49,00",139.450,480.804,620254.0,49.0,139450.0,480804.0
TỔNG CỘNG,Bên nhận đầu tư > TỔNG CỘNG,TỔNG CỘNG,620.254,"49,00",139.450,480.804,620254.0,49.0,139450.0,480804.0
