row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm,Đơn vị tính: triệu VND > Năm nay > 2.108.989 > 5.108.287,Đơn vị tính: triệu VND > Năm trước > 1.111.272 > 2.019.544,numeric__Đơn vị tính: triệu VND > Năm nay > 2.108.989 > 5.108.287,numeric__Đơn vị tính: triệu VND > Năm trước > 1.111.272 > 2.019.544
Trừ: Bán công ty con,Trừ: Bán công ty con,Trừ: Bán công ty con,(21.226),-,-21226.0,
Trừ: Sử dụng dự phòng trong năm,Trừ: Sử dụng dự phòng trong năm,Trừ: Sử dụng dự phòng trong năm,(1.759.503),(1.021.827),-1759503.0,-1021827.0
Số cuối năm,Số cuối năm,Số cuối năm,5.436.547,2.108.989,5436547.0,2108989.0
