row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty SV,Công ty SV,Công ty SV,Công ty cùng thành viênquản lý chủ chốt,Phải thu chuyểnnhượng bất động sản(*),505.325,3.601.722,,,505325.0,3601722.0
Công ty Nam An,Công ty Nam An,Công ty Nam An,Công ty được sở hữubởi cá nhân là bên liênquan đến ngày 15 tháng12 năm 2022,Phải thu từ bán hângsản xuất,-,136.958,,,,136958.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Các bên liên quan khác,Phải thu khác,60.675,-,,,60675.0,
,,,,,566.000,3.738.680,,,566000.0,3738680.0
Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),,,,
Tập đoàn Đầu tưViệt Nam,Phải thu dài hạn của khách hàng (Thuyết minh số 7.1) > Tập đoàn Đầu tưViệt Nam,Tập đoàn Đầu tưViệt Nam,Cùng chủ sở hữu,Phải thu từ thanh lýtài sân cố định (*),1.642.446,-,,,1642446.0,
,,,,,1.642.446,-,,,1642446.0,
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty SV,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty SV,Công ty SV,Công ty cùng thành viênquản lý chủ chốt,Phải thu từ lãi chàmnộp (*),77.389,-,,,77389.0,
Công ty Nam An,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Nam An,Công ty Nam An,Công ty được sở hữubởi cá nhân là bên liênquan đến ngày 15 tháng12 năm 2022,Phải thu từ lãi cho vay,-,278.970,,,,278970.0
Quỹ Thiện Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu từ tạm ứng,-,104.610,,,,104610.0
,,,,,77.389,383.580,,,77389.0,383580.0
