row_label_raw,row_label_full,Bàng cān đối kế toán hợp nhất > Số cuối năm,Bàng cān đối kế toán hợp nhất > Số đầu năm,Đơn vị tính: triệu VND Báo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,Đơn vị tính: triệu VND Báo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước,numeric__Bàng cān đối kế toán hợp nhất > Số đầu năm,numeric__Đơn vị tính: triệu VND Báo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,numeric__Đơn vị tính: triệu VND Báo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước
647.653,647.653,647.653,-,536.868,-,,536868.0,
379.688,379.688,379.688,333.513,46.175,(415.615),333513.0,46175.0,-415615.0
153.792,153.792,153.792,70.016,83.776,(376.146),70016.0,83776.0,-376146.0
145.209,145.209,145.209,160.115,(14.906),(13.329),160115.0,-14906.0,-13329.0
39.901,39.901,39.901,54.387,(14.486),(8.901),54387.0,-14486.0,-8901.0
263.176,263.176,263.176,249.333,12.278,172.381,249333.0,12278.0,172381.0
(773.887),(773.887),(773.887),(830.266),31.476,25.938,-830266.0,31476.0,25938.0
(291.022),(291.022),(291.022),(149.907),(141.115),(135.186),-149907.0,-141115.0,-135186.0
(74.078),(74.078),(74.078),(53.763),(20.315),(48.402),-53763.0,-20315.0,-48402.0
490.432,490.432,490.432,(166.572),,,-166572.0,,
,,,,519.751,(799.260),,519751.0,-799260.0
1.629.419,1.629.419,1.629.419,867.364,,,867364.0,,
(1.138.987),(1.138.987),(1.138.987),(1.033.936),,,-1033936.0,,
490.432,490.432,490.432,(166.572),,,-166572.0,,
