row_label_raw,row_label_full,Tên công ty,Số đầu năm (*),Đầu tư mới/tăng do chuyển từ công ty con trong năm,"Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",Nhận cổ tức,Thanh lý đầu tư trong năm,Số cuối năm (*),numeric__Số đầu năm (*),numeric__Đầu tư mới/tăng do chuyển từ công ty con trong năm,"numeric__Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",numeric__Nhận cổ tức,numeric__Thanh lý đầu tư trong năm,numeric__Số cuối năm (*)
Công ty V-G,Công ty V-G,Công ty V-G,-,139.450,-,-,-,139.450,,139450.0,,,,139450.0
Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,Công ty Pin Lithium VinFast,147.909,-,(44.936),-,-,102.973,147909.0,,-44936.0,,,102973.0
Công ty Tường Phú,Công ty Tường Phú,Công ty Tường Phú,89.562,-,(614),-,-,88.948,89562.0,,-614.0,,,88948.0
Công ty Genestory,Công ty Genestory,Công ty Genestory,-,46.652,(5.368),-,-,41.284,,46652.0,-5368.0,,,41284.0
Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,47.738,-,(502),-,-,47.236,47738.0,,-502.0,,,47236.0
Công ty Cá Tàm,Công ty Cá Tàm,Công ty Cá Tàm,-,43.777,(174),-,-,43.603,,43777.0,-174.0,,,43603.0
Công ty Hiệp Thành Công,Công ty Hiệp Thành Công,Công ty Hiệp Thành Công,-,14.700,-,-,-,14.700,,14700.0,,,,14700.0
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,5.616,-,499,(282),-,5.833,5616.0,,499.0,-282.0,,5833.0
Công ty Công nghệ Vin-ACE,Công ty Công nghệ Vin-ACE,Công ty Công nghệ Vin-ACE,2.669,-,(2.669),-,-,-,2669.0,,-2669.0,,,
Công ty One Mount Group,Công ty One Mount Group,Công ty One Mount Group,-,557.295,(32.760),-,(524.535),-,,557295.0,-32760.0,,-524535.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,293.494,801.874,(86.524),(282),(524.535),484.027,293494.0,801874.0,-86524.0,-282.0,-524535.0,484027.0
