row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Đơn vị tính: triệu VND > Số đầu năm > Giá gốc,Đơn vị tính: triệu VND > Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Đơn vị tính: triệu VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: triệu VND > Số đầu năm > Giá trị có thể thu hồi
Các khoản phải thu quá hạn thanh toán,Các khoản phải thu quá hạn thanh toán,Các khoản phải thu quá hạn thanh toán,1.704.491,668.533,1.064.056,569.876,1704491.0,668533.0,1064056.0,569876.0
Các khoản cho vay quá hạn thanh toán,Các khoản cho vay quá hạn thanh toán,Các khoản cho vay quá hạn thanh toán,84.400,-,70.638,-,84400.0,,70638.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.788.891,668.533,1.134.694,569.876,1788891.0,668533.0,1134694.0,569876.0
