row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,8.781.861,(2.513.883),8781861.0,-2513883.0
Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,8.781.861,(2.513.883),8781861.0,-2513883.0
Ảnh hưởng suy giảm do trái phiếu hoán đổi (Thuyết minh số 26.3),Ảnh hưởng suy giảm do trái phiếu hoán đổi (Thuyết minh số 26.3),Ảnh hưởng suy giảm do trái phiếu hoán đổi (Thuyết minh số 26.3),(423.230),-,-423230.0,
Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận/(lỗ) thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,8.358.631,(2.513.883),8358631.0,-2513883.0
,,,Đơn vị tính: cổ phiếu,Đơn vị tính: cổ phiếu,,
,,,Năm nay,Năm trước,,
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi/lỗ cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi/lỗ cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi/lỗ cơ bản trên cổ phiếu,3.709.644.981,3.669.133.724,3709644981.0,3669133724.0
Ảnh hưởng suy giảm do:,Ảnh hưởng suy giảm do:,Ảnh hưởng suy giảm do:,,,,
Cổ phiếu ưu đãi có quyền chuyển đổi,Ảnh hưởng suy giảm do: > Cổ phiếu ưu đãi có quyền chuyển đổi,Cổ phiếu ưu đãi có quyền chuyển đổi,64.901.963,-,64901963.0,
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Ảnh hưởng suy giảm do: > Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,3.774.546.944,3.669.133.724,3774546944.0,3669133724.0
,,,,Đơn vị tính: VND,,
,,,Năm nay,Năm trước,,
Lãi/(lỗ) cơ bản trên cổ phiếu,Ảnh hưởng suy giảm do: > Lãi/(lỗ) cơ bản trên cổ phiếu,Lãi/(lỗ) cơ bản trên cổ phiếu,2.367,(685),2367.0,-685.0
Lãi/(lỗ) suy giảm trên cổ phiếu,Ảnh hưởng suy giảm do: > Lãi/(lỗ) suy giảm trên cổ phiếu,Lãi/(lỗ) suy giảm trên cổ phiếu,2.214,(685),2214.0,-685.0
