row_label_raw,row_label_full,col_0,Chức danh,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Chức danh,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Ông Nguyễn Thế Anh,Ông Nguyễn Thế Anh,Ông Nguyễn Thế Anh,Trường Ban kiểm soát,1.592,1.267,,1592.0,1267.0
Các thành viên Ban kiểm soát khác,Các thành viên Ban kiểm soát khác,Các thành viên Ban kiểm soát khác,,375,377,,375.0,377.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,1.967,1.644,,1967.0,1644.0
