row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý (*),Số cuối năm > Dự phòng,Đơn vị tính: triệu VND Số đầu năm > Giá gốc,Đơn vị tính: triệu VND Số đầu năm > Giá trị hợp lý (*),Đơn vị tính: triệu VND Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý (*),numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: triệu VND Số đầu năm > Giá gốc,numeric__Đơn vị tính: triệu VND Số đầu năm > Giá trị hợp lý (*),numeric__Đơn vị tính: triệu VND Số đầu năm > Dự phòng
Trái phiếu (i),Trái phiếu (i),Trái phiếu (i),2.352.947,,-,4.909.495,,-,2352947.0,,,4909495.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.352.947,(*),-,4.909.495,(*),-,2352947.0,,,4909495.0,,
