row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),1.994.665,1.994.665,3.150.953,3.150.953,1994665.0,1994665.0,3150953.0,3150953.0
Các khoản đầu tư khác (ii),Các khoản đầu tư khác (ii),Các khoản đầu tư khác (ii),2.388.268,2.388.268,20.000,20.000,2388268.0,2388268.0,20000.0,20000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.382.933,4.382.933,3.170.953,3.170.953,4382933.0,4382933.0,3170953.0,3170953.0
