row_label_raw,row_label_full,col_0,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Hoạt động y tế và các dịch vụ liên quan,Hoạt động giáo dục và các dịch vụ liên quan,Hoạt động sản xuất và các dịch vụ liên quan,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh chuyển nhượng bất động sản,numeric__Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Hoạt động y tế và các dịch vụ liên quan,numeric__Hoạt động giáo dục và các dịch vụ liên quan,numeric__Hoạt động sản xuất và các dịch vụ liên quan,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,54.920.798,7.668.738,6.724.495,4.316.649,3.765.599,13.058.365,11.338.938,-,101.793.582,54920798.0,7668738.0,6724495.0,4316649.0,3765599.0,13058365.0,11338938.0,,101793582.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,532.354,530.928,163.389,-,959.622,3.131.843,(5.318.136),-,,532354.0,530928.0,163389.0,,959622.0,3131843.0,-5318136.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,54.920.798,8.201.092,7.255.423,4.480.038,3.765.599,14.017.987,14.470.781,(5.318.136),101.793.582,54920798.0,8201092.0,7255423.0,4480038.0,3765599.0,14017987.0,14470781.0,-5318136.0,101793582.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khẩu hao và hao mòn (bao gồm lợi thế thương mại),Kết quả hoạt động kinh doanh > Khẩu hao và hao mòn (bao gồm lợi thế thương mại),Khẩu hao và hao mòn (bao gồm lợi thế thương mại),396.557,1.901.731,2.666.001,582.835,444.557,14.604.362,688.030,-,21.284.073,396557.0,1901731.0,2666001.0,582835.0,444557.0,14604362.0,688030.0,,21284073.0
Phần được chia từ lỗ của công ty liên kết và liên doanh,Kết quả hoạt động kinh doanh > Phần được chia từ lỗ của công ty liên kết và liên doanh,Phần được chia từ lỗ của công ty liên kết và liên doanh,(174),-,-,-,-,(47.605),(38.745),-,(86.524),-174.0,,,,,-47605.0,-38745.0,,-86524.0
Thu nhập/(lỗ) trước thuế theo bộ phận,Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,26.293.339,3.718.295,(5.889.151),(702.604),48.694,(32.892.259),345.768,(336.698),(9.414.616) 22.170.134,26293339.0,3718295.0,-5889151.0,-702604.0,48694.0,-32892259.0,345768.0,-336698.0,
Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,
