row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,12.755.518,3.146.451,12755518.0,3146451.0
Thuế TNDN tính theo thuế suất 20%,Thuế TNDN tính theo thuế suất 20%,Thuế TNDN tính theo thuế suất 20%,2.551.104,629.290,2551104.0,629290.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Lỗ cửa các công ty con,Các khoản điều chỉnh: > Lỗ cửa các công ty con,Lỗ cửa các công ty con,7.353.056,6.021.762,7353056.0,6021762.0
Chi phí lãi vay không được khấu trừ,Các khoản điều chỉnh: > Chi phí lãi vay không được khấu trừ,Chi phí lãi vay không được khấu trừ,1.957.710,1.825.620,1957710.0,1825620.0
Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,Các khoản điều chỉnh: > Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,479.851,2.121.333,479851.0,2121333.0
Lỗ từ các hoạt động kinh doanh không được bù trừ,Các khoản điều chỉnh: > Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,413.336,95.465,413336.0,95465.0
Chi phí khấu hao nhanh không được trừ,Các khoản điều chỉnh: > Chi phí khấu hao nhanh không được trừ,Chi phí khấu hao nhanh không được trừ,160.930,66.796,160930.0,66796.0
Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Các khoản điều chỉnh: > Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,69.423,518.302,69423.0,518302.0
Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Các khoản điều chỉnh: > Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thế thương mại phân bổ trên báo cáo tài chính hợp nhất,68.542,118.599,68542.0,118599.0
Các khoản khác,Các khoản điều chỉnh: > Các khoản khác,Các khoản khác,1.592.447,1.130.364,1592447.0,1130364.0
Hoàn nhập dự phòng phải thu từ cho vay và đầu tư vào công ty con,Các khoản điều chỉnh: > Hoàn nhập dự phòng phải thu từ cho vay và đầu tư vào công ty con,Hoàn nhập dự phòng phải thu từ cho vay và đầu tư vào công ty con,(2.210.208),(2.900.713),-2210208.0,-2900713.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(1.067.803),(61.602),-1067803.0,-61602.0
Điều chỉnh dự phòng hợp đồng có rủi ro lớn và bồi thường hợp đồng thương mại,Các khoản điều chỉnh: > Điều chỉnh dự phòng hợp đồng có rủi ro lớn và bồi thường hợp đồng thương mại,Điều chỉnh dự phòng hợp đồng có rủi ro lớn và bồi thường hợp đồng thương mại,(618.622),1.479.884,-618622.0,1479884.0
Cổ tức,Các khoản điều chỉnh: > Cổ tức,Cổ tức,(27.194),-,-27194.0,
Điều chỉnh lãi vay không được trừ của các năm trước vào năm nay,Các khoản điều chỉnh: > Điều chỉnh lãi vay không được trừ của các năm trước vào năm nay,Điều chỉnh lãi vay không được trừ của các năm trước vào năm nay,(11.398),(340.485),-11398.0,-340485.0
Chi phí thuế TNDN ước tính,Các khoản điều chỉnh: > Chi phí thuế TNDN ước tính,Chi phí thuế TNDN ước tính,10.711.174,10.704.615,10711174.0,10704615.0
