row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_2,Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_3,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_2,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2023_3
,,,Hoạt độngbán hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chínhVND,Tổng cộngVND,,,,
Doanh thu và thu nhập,Doanh thu và thu nhập,Doanh thu và thu nhập,39.177.597.281,48.309.982.943,329.503.725.068,416.991.305.292,39177597281.0,48309982943.0,329503725068.0,416991305292.0
Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,(38.239.444.522),(28.030.133.291),(149.940.471.632),(216.210.049.445),-38239444522.0,-28030133291.0,-149940471632.0,-216210049445.0
Tổng cộng,Tổng cộng,Tổng cộng,938.152.759,20.279.849.652,179.563.253.436,200.781.255.847,938152759.0,20279849652.0,179563253436.0,200781255847.0
Chi phí chung không phân bổ,Chi phí chung không phân bổ,Chi phí chung không phân bổ,,,,(45.419.806.086),,,,-45419806086.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,155.361.449.761,,,,155361449761.0
,,,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,
,,,Hoạt độngbán hàng hóaVND,Hoạt độngcung cấp dịch vụVND,Hoạt độngđầu tư tài chínhVND,Tổng cộngVND,,,,
Doanh thu và thu nhập,Doanh thu và thu nhập,Doanh thu và thu nhập,164.709.275.430,75.145.805.672,284.103.635.058,523.958.716.160,164709275430.0,75145805672.0,284103635058.0,523958716160.0
Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,Chi phí hoạt động trực tiếp,(160.299.641.399),(63.139.209.868),(20.962.688.941),(244.401.540.208),-160299641399.0,-63139209868.0,-20962688941.0,-244401540208.0
Tổng cộng,Tổng cộng,Tổng cộng,4.409.634.031,12.006.595.804,263.140.946.117,279.557.175.952,4409634031.0,12006595804.0,263140946117.0,279557175952.0
Chi phí chung không phân bổ,Chi phí chung không phân bổ,Chi phí chung không phân bổ,,,,(31.328.023.953),,,,-31328023953.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,,,,248.229.151.999,,,,248229151999.0
