row_label_raw,row_label_full,col_0,col_1,Tại ngày1/1/2023VND,Giải ngântrong nămVND,Trả nợ gốc vaytrong nămVND,Lãi nhập gốcVND(Thuyết minh 26),Tại ngày31/12/2023VND,numeric__col_1,numeric__Tại ngày1/1/2023VND,numeric__Giải ngântrong nămVND,numeric__Trả nợ gốc vaytrong nămVND,numeric__Lãi nhập gốcVND(Thuyết minh 26),numeric__Tại ngày31/12/2023VND
(a),(a),(a),Vay ngắn hạnVay bên thứ ba (*)Trong đó:- Vay từ Đoàn Huy- Vay từ Gemadept,171.800.000.000171.800.000.000-,150.000.000.000-150.000.000.000,(211.800.000.000)(171.800.000.000)(40.000.000.000),2.685.573.439-2.685.573.439,112.685.573.439-112.685.573.439,,,,,,
(b),(a) > (b),(b),Vay dài hạnVay ngân hàng (**),-,700.000.000.000,-,49.613.698.630,749.613.698.630,,,700000000000.0,,49613698630.0,749613698630.0
