row_label_raw,row_label_full,Công ty TNHH Một thành viên Trung tâm Logistics Xanh,37.743.691.203,46.434.878.297,numeric__37.743.691.203,numeric__46.434.878.297
Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Công ty TNHH Một thành viên Viconship Hồ Chí Minh,3.200.000.000,3.000.000.000,3200000000.0,3000000000.0
Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,-,323.756.250,,323756250.0
Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,Công ty Cổ phần Container Miền Trung,-,10.103.934,,10103934.0
Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,-,8.520.280,,8520280.0
,,,40.943.691.203,49.777.258.761,40943691203.0,49777258761.0
