row_label_raw,row_label_full,Kế toán trường,Kế toán trường_1,Kế toán trường_2,Kế toán trường_3,numeric__Kế toán trường_1,numeric__Kế toán trường_2,numeric__Kế toán trường_3
Phạm Thanh Tuấn,Phạm Thanh Tuấn,Phạm Thanh Tuấn,Kế toán trường(từ ngày 1/3/2024),-,-,,,
Ông Lê Thế Trung,Phạm Thanh Tuấn > Ông Lê Thế Trung,Ông Lê Thế Trung,Kế toán trường(cho đến ngày 1/3/2024),2.922.954.000,2.814.261.000,,2922954000.0,2814261000.0
