row_label_raw,row_label_full,Hội đồng quản trị,Hội đồng quản trị_1,Hội đồng quản trị_2,Hội đồng quản trị_3,numeric__Hội đồng quản trị_1,numeric__Hội đồng quản trị_2,numeric__Hội đồng quản trị_3
Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Chủ tịch(từ ngày 10/3/2023),3.571.602.000,2.962.138.000,,3571602000.0,2962138000.0
Ông Nguyễn Việt Hoà,Ông Nguyễn Việt Hoà,Ông Nguyễn Việt Hoà,Chủ tịch(cho đến ngày 10/3/2023),733.854.000,2.429.589.000,,733854000.0,2429589000.0
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Thành viên,2.668.370.500,-,,2668370500.0,
Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Ông Nguyễn Đức Dũng,Thành viên,2.091.100.000,-,,2091100000.0,
Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Ông Văn Trần Hoàn,Thành viên,440.000.000,450.000.000,,440000000.0,450000000.0
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Thành viên,440.000.000,450.000.000,,440000000.0,450000000.0
Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên(cho đến ngày 10/3/2023),480.000.000,450.000.000,,480000000.0,450000000.0
Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Ông Dương Tiến Dũng,Thành viên(cho đến ngày 9/9/2022),300.000.000,2.679.981.000,,300000000.0,2679981000.0
Ông Trần Quang Tiến,Ông Trần Quang Tiến,Ông Trần Quang Tiến,Thành viên(cho đến ngày 9/9/2022),-,300.000.000,,,300000000.0
Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Ông Nguyễn Hoàng Anh,Thành viên(cho đến ngày 9/3/2022),-,500.000.000,,,500000000.0
,,,,10.724.926.500,10.221.708.000,,10724926500.0,10221708000.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,,
Ông Trương Lý Thế Anh,Ông Trương Lý Thế Anh,Ông Trương Lý Thế Anh,Trường ban(từ ngày 10/3/2023),-,-,,,
Bà Nguyễn Thị Kim Nhã,Ông Trương Lý Thế Anh > Bà Nguyễn Thị Kim Nhã,Bà Nguyễn Thị Kim Nhã,Trường ban(cho đến ngày 10/3/2023),189.854.000,338.040.000,,189854000.0,338040000.0
Bà Ngô Thị Thùy Lương,Bà Ngô Thị Thùy Lương,Bà Ngô Thị Thùy Lương,Thành viên(từ ngày 10/3/2023),-,-,,,
Bà Nghiêm Thị Thuy Dương,Bà Ngô Thị Thùy Lương > Bà Nghiêm Thị Thuy Dương,Bà Nghiêm Thị Thuy Dương,Thành viên,120.000.000,125.000.000,,120000000.0,125000000.0
Bà Nguyễn Thị Minh Lan,Bà Ngô Thị Thùy Lương > Bà Nguyễn Thị Minh Lan,Bà Nguyễn Thị Minh Lan,Thành viên(cho đến ngày 10/3/2023),121.000.000,125.000.000,,121000000.0,125000000.0
,,,,430.854.000,588.040.000,,430854000.0,588040000.0
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,,,
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Tổng Giám đốc(từ ngày 28/2/2024),,,,,
Ông Tạ Công Thông,Ông Tạ Công Thông,Ông Tạ Công Thông,Giám đốc Marketing(cho đến ngày 28/2/2024),Như trên,Như trên,,,
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Tổng Giám đốc(từ ngày 10/3/2023 cho đến ngày 28/2/2024),,,,,
Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Ông Cáp Trọng Cường,Giám đốc khai thác(cho đến ngày 10/3/2023),Như trên,Như trên,,,
Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Ông Bùi Minh Hưng,Tổng Giám đốc(cho đến ngày 10/3/2023),Như trên,Như trên,,,
Ông Nguyễn Thế Trọng,Ông Bùi Minh Hưng > Ông Nguyễn Thế Trọng,Ông Nguyễn Thế Trọng,Giám đốc kỹ thuật,2.594.933.107,2.465.938.000,,2594933107.0,2465938000.0
Bà Trương Anh Thư,Bà Trương Anh Thư,Bà Trương Anh Thư,Giám đốc tài chính(từ ngày 1/3/2024),-,-,,,
Ông Phan Văn Hưng,Bà Trương Anh Thư > Ông Phan Văn Hưng,Ông Phan Văn Hưng,Giám đốc tài chính(cho đến ngày 1/3/2024),2.316.407.000,204.000.000,,2316407000.0,204000000.0
