row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu (***) VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu (***) VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,551.227.980.000,36.141.891.246,646.734.369.757,221.399.754.053,1.455.503.995.056,551227980000.0,36141891246.0,646734369757.0,221399754053.0,1455503995056.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,246.870.748.656,246.870.748.656,,,,246870748656.0,246870748656.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(5.200.000.000),(5.200.000.000),,,,-5200000000.0,-5200000000.0
Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,Thường Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(4.100.000.000),(4.100.000.000),,,,-4100000000.0,-4100000000.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,551.227.980.000,3.261.630.000,-,-,554.489.610.000,551227980000.0,3261630000.0,,,554489610000.0
Chia cổ tức bằng cổ phiếu năm 2021,Chia cổ tức bằng cổ phiếu năm 2021,Chia cổ tức bằng cổ phiếu năm 2021,110.238.010.000,-,-,(110.238.010.000),-,110238010000.0,,,-110238010000.0,
Tạm ứng cổ tức năm 2022,Tạm ứng cổ tức năm 2022,Tạm ứng cổ tức năm 2022,-,-,-,(121.269.397.000),(121.269.397.000),,,,-121269397000.0,-121269397000.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,1.212.693.970.000,39.403.521.246,646.734.369.757,227.463.095.709,2.126.294.956.712,1212693970000.0,39403521246.0,646734369757.0,227463095709.0,2126294956712.0
Trích lập Quỹ khen thưởng và phúc lợi (Thuyết minh 15) (*),Trích lập Quỹ khen thưởng và phúc lợi (Thuyết minh 15) (*),Trích lập Quỹ khen thưởng và phúc lợi (Thuyết minh 15) (*),-,-,-,(9.881.000.000),(9.881.000.000),,,,-9881000000.0,-9881000000.0
Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),Thường Hội đồng Quản trị và Ban Kiểm soát (*),-,-,-,(3.900.000.000),(3.900.000.000),,,,-3900000000.0,-3900000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,155.354.444.763,155.354.444.763,,,,155354444763.0,155354444763.0
Chia cổ tức bằng cổ phiếu năm 2022 (**),Chia cổ tức bằng cổ phiếu năm 2022 (**),Chia cổ tức bằng cổ phiếu năm 2022 (**),121.262.450.000,-,-,(121.262.450.000),-,121262450000.0,,,-121262450000.0,
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,1.333.956.420.000,39.403.521.246,646.734.369.757,247.774.090.472,2.267.868.401.475,1333956420000.0,39403521246.0,646734369757.0,247774090472.0,2267868401475.0
