row_label_raw,row_label_full,col_0,col_1,Tại ngày 31/12/2023 > Giá gốc VND,Tại ngày 31/12/2023 > Giá trị hợp lý VND,Tại ngày 31/12/2023 > Dự phòng VND,Tại ngày 31/12/2022 > Giá gốc VND,Tại ngày 31/12/2022 > Giá trị hợp lý VND,Tại ngày 31/12/2022 > Dự phòng VND,numeric__col_1,numeric__Tại ngày 31/12/2023 > Giá gốc VND,numeric__Tại ngày 31/12/2023 > Giá trị hợp lý VND,numeric__Tại ngày 31/12/2023 > Dự phòng VND,numeric__Tại ngày 31/12/2022 > Giá gốc VND,numeric__Tại ngày 31/12/2022 > Giá trị hợp lý VND,numeric__Tại ngày 31/12/2022 > Dự phòng VND
(a),(a),(a),Ngắn hạn,,,,,,,,,,,,,
(i),(i),(i),Đầu tư nằm giữ đến ngày đáo hạn,,,,,,,,,,,,,
(i),(i) > (i),(i),Tiền gửi có kỳ hạn tại ngân hàng thương mai,1.000.000.000,1.000.000.000,-,26.000.000.000,26.000.000.000,-,,1000000000.0,1000000000.0,,26000000000.0,26000000000.0,
(b),(b),(b),Dài hạn,,,,,,,,,,,,,
(i),(i),(i),Đầu tư vào công ty con,,,,,,,,,,,,,
(i),(i) > (i),(i),Công ty Cổ phần Cảng xanh VIP,518.850.000.000,1.763.437.500.000,-,518.850.000.000,1.805.760.000.000,-,,518850000000.0,1763437500000.0,,518850000000.0,1805760000000.0,
(i),(i) > (i),(i),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,80.400.000.000,121.404.000.000,-,80.400.000.000,83.616.000.000,-,,80400000000.0,121404000000.0,,80400000000.0,83616000000.0,
(i),(i) > (i),(i),Công ty Cổ phần Container Miền Trung,19.825.000.000,37.072.750.000,-,19.825.000.000,33.702.500.000,-,,19825000000.0,37072750000.0,,19825000000.0,33702500000.0,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,110.000.000.000,(*),-,110.000.000.000,(*),-,,110000000000.0,,,110000000000.0,,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Viconship Hồ Chí Minh (**),20.000.000.000,(*),(1.841.210.114),15.000.000.000,(*),-,,20000000000.0,,-1841210114.0,15000000000.0,,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,620.000.000.000,(*),(58.033.070.643),620.000.000.000,(*),-,,620000000000.0,,-58033070643.0,620000000000.0,,
(i),(i) > (i),(i),Công ty TNHH Một thành viên Vận tải biển Ngôi sao Xanh,76.000.000.000,(*),-,76.000.000.000,(*),-,,76000000000.0,,,76000000000.0,,
(i),(i) > (i),(i),,1.445.075.000.000,1.921.914.250.000,(59.874.280.757),1.440.075.000.000,1.923.078.500.000,-,,1445075000000.0,1921914250000.0,-59874280757.0,1440075000000.0,1923078500000.0,
(ii),(ii),(ii),Đầu tư vào công ty liên kết,,,,,,,,,,,,,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Logistics Cảng Đà Nẵng,14.430.000.000,39.960.000.000,-,14.430.000.000,24.242.400.000,-,,14430000000.0,39960000000.0,,14430000000.0,24242400000.0,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,80.991.207.286,70.561.600.000,-,80.991.207.286,61.741.400.000,-,,80991207286.0,70561600000.0,,80991207286.0,61741400000.0,
(ii),(ii) > (ii),(ii),Công ty TNHH Tuyến Container T.S. Hà Nội,2.002.500.000,(*),-,2.002.500.000,(*),-,,2002500000.0,,,2002500000.0,,
(ii),(ii) > (ii),(ii),Công ty Cổ phần Cảng VIMC Đình Vũ,392.492.736.000,(*),(35.083.924.800),392.492.736.000,(*),(19.681.656.974),,392492736000.0,,-35083924800.0,392492736000.0,,-19681656974.0
(ii),(ii) > (ii),(ii),Công ty TNHH Cảng Nam Hải Đình Vũ (***),1.004.816.916.396,(*),(6.807.917.100),-,-,-,,1004816916396.0,,-6807917100.0,,,
(ii),(ii) > (ii),(ii),,1.494.733.359.682,110.521.600.000,(41.891.841.900),489.916.443.286,85.983.800.000,(19.681.656.974),,1494733359682.0,110521600000.0,-41891841900.0,489916443286.0,85983800000.0,-19681656974.0
(iii),(iii),(iii),Đầu tư góp vốn vào đơn vị khác,,,,,,,,,,,,,
(iii),(iii) > (iii),(iii),Công ty TNHH MSC Việt Nam,155.000.000,(*),-,155.000.000,(*),-,,155000000.0,,,155000000.0,,
