row_label_raw,row_label_full,col_0,col_1,Tại ngày1/1/2023VND,Số phát sinhtrong nămVND,Cấn trừVND,Tại ngày31/12/2023VND,numeric__col_1,numeric__Tại ngày1/1/2023VND,numeric__Số phát sinhtrong nămVND,numeric__Cấn trừVND,numeric__Tại ngày31/12/2023VND
(a),(a),(a),Thuế GTGT được khấu trừThuế GTGT,11.473.226.985,6.790.397.012,(7.360.072.640),10.903.551.357,,11473226985.0,6790397012.0,-7360072640.0,10903551357.0
(b),(b),(b),Thuế và các khoản khác phải thu Nhà nướcThuế TNDN,1.238.620.240,-,(7.004.998),1.231.615.242,,1238620240.0,,-7004998.0,1231615242.0
(b),(b),(b),Thuế đất,4.694.001,-,(4.694.001),-,,4694001.0,,-4694001.0,
(b),(b),(b),,1.243.314.241,-,(11.698.999),1.231.615.242,,1243314241.0,,-11698999.0,1231615242.0
(b),(b),(b),Tại ngày1/1/2023VND,Số phát sinhtrong nămVND,Số thực trảtrong nămVND,Cấn trừVND,Tại ngày31/12/2023VND,,,,,
(c),(b) > (c),(c),Phải nộpThuế GTGT,19.491.029,8.467.332.961,(1.105.033.749),(7.360.072.640),,19491029.0,8467332961.0,-1105033749.0,-7360072640.0
(c),(b) > (c),(c),Thuế TNDN,-,7.004.998,-,(7.004.998),,,7004998.0,,-7004998.0
(c),(b) > (c),(c),Thuế thu nhập cá nhân,1.607.259.318,5.785.179.917,(7.066.175.897),-,,1607259318.0,5785179917.0,-7066175897.0,
(c),(b) > (c),(c),Thuế đất,-,4.550.446.058,(4.545.752.057),(4.694.001),,,4550446058.0,-4545752057.0,-4694001.0
(c),(b) > (c),(c),Thuế và các khoản phải nộpNhà nước khác,-,62.212.656,(62.212.656),-,,,62212656.0,-62212656.0,
(c),(b) > (c),(c),,1.626.750.347,18.872.176.590,(12.779.174.359),(7.371.771.639),,1626750347.0,18872176590.0,-12779174359.0,-7371771639.0
