row_label_raw,row_label_full,col_0,col_1,2023VND,2022VND,numeric__col_1,numeric__2023VND,numeric__2022VND
(v),(v),(v),Mua dịch vụ,,,,,
(v),(v) > (v),(v),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,7.570.266.000,10.880.684.977,,7570266000.0,10880684977.0
(v),(v) > (v),(v),Công ty TNHH Một thành viên Dịch vụ Cảng Xanh,6.253.947.817,12.605.605.844,,6253947817.0,12605605844.0
(v),(v) > (v),(v),Công ty Cổ phần Container Miền Trung,643.886.530,918.906.296,,643886530.0,918906296.0
(v),(v) > (v),(v),Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,-,3.003.552.343,,,3003552343.0
(v),(v) > (v),(v),Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh,-,1.835.874.471,,,1835874471.0
(v),(v) > (v),(v),Công ty Cổ phần Cảng Xanh VIP,-,542.210.000,,,542210000.0
(v),(v) > (v),(v),Công ty TNHH Tuyến Container T.S. Hà Nội,-,70.830.300,,,70830300.0
(v),(v) > (v),(v),,14.468.100.347,29.857.664.231,,14468100347.0,29857664231.0
(vi),(vi),(vi),Cho vay,,,,,
(vi),(vi) > (vi),(vi),Công ty Cổ phần Container Miền Trung,-,18.000.000.000,,,18000000000.0
(vi),(vi) > (vi),(vi),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,-,15.000.000.000,,,15000000000.0
(vi),(vi) > (vi),(vi),Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,-,21.000.000.000,,,21000000000.0
(vi),(vi) > (vi),(vi),,-,54.000.000.000,,,54000000000.0
(vii),(vii),(vii),Thu gốc từ cho vay,,,,,
(vii),(vii) > (vii),(vii),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,15.000.000.000,-,,15000000000.0,
(vii),(vii) > (vii),(vii),Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,10.894.736.842,10.105.263.158,,10894736842.0,10105263158.0
(vii),(vii) > (vii),(vii),Công ty Cổ phần Container Miền Trung,4.815.789.470,4.236.842.119,,4815789470.0,4236842119.0
(vii),(vii) > (vii),(vii),,30.710.526.312,14.342.105.277,,30710526312.0,14342105277.0
(viii),(viii),(viii),Lãi cho vay (Thuyết minh 21),,,,,
(viii),(viii) > (viii),(viii),Công ty Cổ phần Container Miền Trung,1.050.197.373,860.755.830,,1050197373.0,860755830.0
(viii),(viii) > (viii),(viii),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,596.617.160,168.657.534,,596617160.0,168657534.0
(viii),(viii) > (viii),(viii),Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,319.286.162,547.194.377,,319286162.0,547194377.0
(viii),(viii) > (viii),(viii),,1.966.100.695,1.576.607.741,,1966100695.0,1576607741.0
(ix),(ix),(ix),Lãi cho vay đã thu,,,,,
(ix),(ix) > (ix),(ix),Công ty Cổ phần Container Miền Trung,1.121.923.570,709.405.504,,1121923570.0,709405504.0
(ix),(ix) > (ix),(ix),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,765.274.694,-,,765274694.0,
(ix),(ix) > (ix),(ix),Công ty TNHH Một thành viên Vận tải biển Ngõi sao Xanh,323.995.962,545.194.521,,323995962.0,545194521.0
(ix),(ix) > (ix),(ix),,2.211.194.226,1.254.600.025,,2211194226.0,1254600025.0
(x),(x),(x),Góp vốn các bên liên quan,,,,,
(x),(x) > (x),(x),Công ty TNHH Một thành viên Viconship Hồ Chí Minh,5.000.000.000,15.000.000.000,,5000000000.0,15000000000.0
(x),(x) > (x),(x),Công ty TNHH Một thành viên Trung tâm Logistics Xanh,-,530.000.000.000,,,530000000000.0
(x),(x) > (x),(x),,5.000.000.000,545.000.000.000,,5000000000.0,545000000000.0
