row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,QUỐN,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__QUỐN
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,40.000.000.000.000,1.609.242.678.060,1.755.808.316.735,43.365.050.994.795,40000000000000.0,1609242678060.0,1755808316735.0,43365050994795.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,1.433.097.462.048,1.433.097.462.048,,,1433097462048.0,1433097462048.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,319.934.387.591,(319.934.387.591),-,,319934387591.0,-319934387591.0,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,(9.640.686.000),(9.640.686.000),,,-9640686000.0,-9640686000.0
Trích quỹ Khen thưởng Ban điều hành,Trích quỹ Khen thưởng Ban điều hành,Trích quỹ Khen thưởng Ban điều hành,-,-,(1.068.973.333),(1.068.973.333),,,-1068973333.0,-1068973333.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(1.400.000.000.000),(1.400.000.000.000),,,-1400000000000.0,-1400000000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,40.000.000.000.000,1.929.177.065.651,1.458.261.731.859,43.387.438.797.510,40000000000000.0,1929177065651.0,1458261731859.0,43387438797510.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,40.000.000.000.000,1.929.177.065.651,1.458.261.731.859,43.387.438.797.510,40000000000000.0,1929177065651.0,1458261731859.0,43387438797510.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,2.353.531.650.555,2.353.531.650.555,,,2353531650555.0,2353531650555.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,246.783.463.631,(246.783.463.631),-,,246783463631.0,-246783463631.0,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,(10.370.880.000),(10.370.880.000),,,-10370880000.0,-10370880000.0
Trích quỹ Khen thưởng Ban điều hành,Trích quỹ Khen thưởng Ban điều hành,Trích quỹ Khen thưởng Ban điều hành,-,-,(1.107.388.228),(1.107.388.228),,,-1107388228.0,-1107388228.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(1.200.000.000.000),(1.200.000.000.000),,,-1200000000000.0,-1200000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,40.000.000.000.000,2.175.960.529.282,2.353.531.650.555,44.529.492.179.837,40000000000000.0,2175960529282.0,2353531650555.0,44529492179837.0
