row_label_raw,row_label_full,Tên Công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,Công ty con trên 50% vốn,,,,
- Công ty Cổ phần Cao su Bà Rịa,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Bà Rịa,- Công ty Cổ phần Cao su Bà Rịa,Tỉnh Bà Rịa - Vũng Tàu,"97,47%","97,47%","Trồng, khai thác và kinh doanh Cao su",,0.9747,0.9747,
- Công ty Cổ phần Cao su Tân Biên,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Tân Biên,- Công ty Cổ phần Cao su Tân Biên,Tỉnh Tây Ninh,"98,46%","98,46%","Trồng, khai thác và kinh doanh Cao su",,0.9845999999999999,0.9845999999999999,
- Công ty Cổ phần VRG - Bảo Lộc,Công ty con trên 50% vốn > - Công ty Cổ phần VRG - Bảo Lộc,- Công ty Cổ phần VRG - Bảo Lộc,Tỉnh Lâm Đồng,"71,03%","71,03%",Thủy điện,,0.7103,0.7103,
- Công ty Cổ phần Gỗ MDF Geruco Quảng Trị,Công ty con trên 50% vốn > - Công ty Cổ phần Gỗ MDF Geruco Quảng Trị,- Công ty Cổ phần Gỗ MDF Geruco Quảng Trị,Tỉnh Quảng Trị,"84,85%","84,85%",Chế biến gỗ,,0.8484999999999999,0.8484999999999999,
- Công ty Cổ phần Thủy điện Geruco Sông Côn,Công ty con trên 50% vốn > - Công ty Cổ phần Thủy điện Geruco Sông Côn,- Công ty Cổ phần Thủy điện Geruco Sông Côn,Tỉnh Quảng Nam,"51,01%","51,01%",Thủy điện,,0.5101,0.5101,
- Công ty Cổ phần Công nghiệp và Xuất nhập khẩu Cao su,Công ty con trên 50% vốn > - Công ty Cổ phần Công nghiệp và Xuất nhập khẩu Cao su,- Công ty Cổ phần Công nghiệp và Xuất nhập khẩu Cao su,Thành phố Hồ Chí Minh,"69,12%","69,12%","Kinh doanh thương mại, xuất nhập khẩu",,0.6912,0.6912,
- Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên,Công ty con trên 50% vốn > - Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên,- Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên,Tỉnh Phú Yên,"81,77%","81,77%",Thủy điện,,0.8177,0.8177,
- Công ty Cổ phần VRG - Đắk Nông,Công ty con trên 50% vốn > - Công ty Cổ phần VRG - Đắk Nông,- Công ty Cổ phần VRG - Đắk Nông,Tỉnh Đắk Nông,"68,60%","68,60%",Thủy điện,,0.6859999999999999,0.6859999999999999,
- Công ty Cổ phần Thẻ thao Ngõi Sao Geru,Công ty con trên 50% vốn > - Công ty Cổ phần Thẻ thao Ngõi Sao Geru,- Công ty Cổ phần Thẻ thao Ngõi Sao Geru,Thành phố Hồ Chí Minh,"64,38%","64,38%",Sản xuất kinh doanh dụng cụ thể thao,,0.6437999999999999,0.6437999999999999,
- Công ty Cổ phần Cao su Sa Thầy,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Sa Thầy,- Công ty Cổ phần Cao su Sa Thầy,Tỉnh Kon Tum,"59,00%","59,00%",Trồng và khai thác Cao su,,0.59,0.59,
- Công ty Cổ phần Cao su Son La,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Son La,- Công ty Cổ phần Cao su Son La,Tỉnh Son La,"69,03%","69,03%",Trồng và khai thác Cao su,,0.6903,0.6903,
- Công ty Cổ phần Cao su Tây Ninh,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Tây Ninh,- Công ty Cổ phần Cao su Tây Ninh,Tỉnh Tây Ninh,"61,80%","61,80%",Trồng và khai thác Cao su,,0.618,0.618,
- Công ty Cổ phần Cao su Đồng Phú,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Đồng Phú,- Công ty Cổ phần Cao su Đồng Phú,Tỉnh Bình Phước,"55,24%","55,24%",Trồng và khai thác Cao su,,0.5524,0.5524,
- Công ty Cổ phần Cơ khí Cao su,Công ty con trên 50% vốn > - Công ty Cổ phần Cơ khí Cao su,- Công ty Cổ phần Cơ khí Cao su,Thành phố Hồ Chí Minh,"60,00%","60,00%",Cơ khí Cao su,,0.6,0.6,
- Công ty Cổ phần Cao su Hà Giang,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Hà Giang,- Công ty Cổ phần Cao su Hà Giang,Tỉnh Hà Giang,"82,59%","82,59%",Trồng và khai thác Cao su,,0.8259000000000001,0.8259000000000001,
- Công ty Cổ phần Quasa Geruco,Công ty con trên 50% vốn > - Công ty Cổ phần Quasa Geruco,- Công ty Cổ phần Quasa Geruco,Tỉnh Quảng Trị,"75,23%","75,23%",Trồng và khai thác Cao su,,0.7523000000000001,0.7523000000000001,
- Công ty Cổ phần Cao su Lai Châu,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Lai Châu,- Công ty Cổ phần Cao su Lai Châu,Tỉnh Lai Châu,"83,54%","83,54%",Trồng và khai thác Cao su,,0.8354,0.8354,
- Công ty Cổ phần Cao su Điện Biên,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Điện Biên,- Công ty Cổ phần Cao su Điện Biên,Tỉnh Điện Biên,"60,00%","60,00%",Trồng và khai thác Cao su,,0.6,0.6,
- Công ty Cổ phần Cao su Phước Hòa,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Phước Hòa,- Công ty Cổ phần Cao su Phước Hòa,Tỉnh Bình Dương,"66,62%","66,62%",Trồng và khai thác Cao su,,0.6662,0.6662,
- Công ty Cổ phần Cao su Lai Châu II,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Lai Châu II,- Công ty Cổ phần Cao su Lai Châu II,Tỉnh Lai Châu,"88,50%","88,50%",Trồng và khai thác Cao su,,0.885,0.885,
- Công ty Cổ phần Cao su Yên Bái,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Yên Bái,- Công ty Cổ phần Cao su Yên Bái,Tỉnh Yên Bái,"81,52%","81,52%",Trồng và khai thác Cao su,,0.8151999999999999,0.8151999999999999,
- Công ty Cổ phần Cao su Hòa Bình,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Hòa Bình,- Công ty Cổ phần Cao su Hòa Bình,Tỉnh Bà Rịa Vũng Tàu,"55,06%","55,06%",Trồng và khai thác Cao su,,0.5506,0.5506,
- Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,Công ty con trên 50% vốn > - Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,- Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,Tỉnh Quảng Ninh,"52,51%","52,51%","Dịch vụ du lịch, khách sạn",,0.5251,0.5251,
- Công ty Cổ phần VRG Khải Hoàn,Công ty con trên 50% vốn > - Công ty Cổ phần VRG Khải Hoàn,- Công ty Cổ phần VRG Khải Hoàn,Tỉnh Bình Dương,"51,04%","51,04%",Công nghiệp Cao su,,0.5104,0.5104,
- Công ty Cổ phần Đầu tư Phát triển Cao su Nghệ An,Công ty con trên 50% vốn > - Công ty Cổ phần Đầu tư Phát triển Cao su Nghệ An,- Công ty Cổ phần Đầu tư Phát triển Cao su Nghệ An,Tỉnh Nghệ An,"93,03%","93,03%",Trồng và khai thác Cao su,,0.9303,0.9303,
- Công ty Cổ phần Xuất khẩu Cao su VRG Nhật Bản,Công ty con trên 50% vốn > - Công ty Cổ phần Xuất khẩu Cao su VRG Nhật Bản,- Công ty Cổ phần Xuất khẩu Cao su VRG Nhật Bản,Thành phố Hồ Chí Minh,"50,00%","50,00%","Kinh doanh thương mại, xuất nhập khẩu",,0.5,0.5,
- Công ty Cổ phần Gỗ MDF VRG Kiên Giang,Công ty con trên 50% vốn > - Công ty Cổ phần Gỗ MDF VRG Kiên Giang,- Công ty Cổ phần Gỗ MDF VRG Kiên Giang,Tỉnh Kiên Giang,"99,58%","99,58%",Chế biến gỗ,,0.9958,0.9958,
