row_label_raw,row_label_full,col_0,col_1,01/01/2024 > Giá trịVND,01/01/2024 > Dự phòngVND,Trong năm > TăngVND,Trong năm > GiảmVND,31/12/2024 > Giá trịVND,31/12/2024 > Dự phòngVND,numeric__col_1,numeric__01/01/2024 > Giá trịVND,numeric__01/01/2024 > Dự phòngVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__31/12/2024 > Giá trịVND,numeric__31/12/2024 > Dự phòngVND
b),b),b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,,
,,,Bên liên quan,95.145.388.955,(34.400.000.000),-,68.775.293.916,26.370.095.039,-,,95145388955.0,-34400000000.0,,68775293916.0,26370095039.0,
,,,- Công ty Cổ phần Gỗ MDF VRG Kiên Giang,34.400.000.000,(34.400.000.000),-,34.400.000.000,-,-,,34400000000.0,-34400000000.0,,34400000000.0,,
,,,- Công ty TNHH MTV Cao su Bình Thuận,10.914.199.712,-,-,1.559.181.666,9.355.018.046,-,,10914199712.0,,,1559181666.0,9355018046.0,
,,,- Công ty TNHH MTV Cao su Quảng Nam,9.463.148.479,-,-,1.351.884.074,8.111.264.405,-,,9463148479.0,,,1351884074.0,8111264405.0,
,,,- Công ty TNHH MTV Cao su Kon Tum,9.334.227.983,-,-,9.334.227.983,-,-,,9334227983.0,,,9334227983.0,,
,,,- Công ty TNHH MTV Cao su Hà Tĩnh,6.923.060.500,-,-,989.006.650,5.934.053.850,-,,6923060500.0,,,989006650.0,5934053850.0,
,,,- Công ty TNHH MTV Cao su Chư Pãh,5.778.423.901,-,-,5.778.423.901,-,-,,5778423901.0,,,5778423901.0,,
,,,- Công ty TNHH MTV Cao su Mang Yang,4.620.612.577,-,-,4.620.612.577,-,-,,4620612577.0,,,4620612577.0,,
,,,- Công ty TNHH MTV Cao su Thanh Hóa,3.935.380.184,-,-,3.935.380.184,-,-,,3935380184.0,,,3935380184.0,,
,,,- Công ty TNHH MTV Cao su Quảng Ngãi,3.464.722.530,-,-,494.963.792,2.969.758.738,-,,3464722530.0,,,494963792.0,2969758738.0,
,,,- Công ty TNHH MTV Cao su Chư Prông,2.127.268.066,-,-,2.127.268.066,-,-,,2127268066.0,,,2127268066.0,,
,,,- Công ty TNHH MTV Cao su Chư Sê,2.020.511.658,-,-,2.020.511.658,-,-,,2020511658.0,,,2020511658.0,,
,,,- Công ty TNHH MTV Cao su Ea H'Leo,1.274.830.273,-,-,1.274.830.273,-,-,,1274830273.0,,,1274830273.0,,
,,,- Công ty TNHH MTV Cao su Krông Buk,889.003.092,-,-,889.003.092,-,-,,889003092.0,,,889003092.0,,
,,,Bên khác: Các khoản cho vay sáp nhập từ Công ty Tài chính Cao su Việt Nam,732.924.430.956,(384.950.516.100),-,9.140.679.805,723.783.751.151,(376.651.132.371),,732924430956.0,-384950516100.0,,9140679805.0,723783751151.0,-376651132371.0
,,,- Cho vay theo hình thức Repo cổ phiếu,51.736.359.215,(45.057.159.215),-,60.000.000,51.676.359.215,(45.579.059.215),,51736359215.0,-45057159215.0,,60000000.0,51676359215.0,-45579059215.0
,,,+ Lê Thanh Nhã,18.931.920.201,(12.252.720.201),-,-,18.931.920.201,(12.834.620.201),,18931920201.0,-12252720201.0,,,18931920201.0,-12834620201.0
,,,+ Tô Đình Chiến,16.496.910.403,(16.496.910.403),-,-,16.496.910.403,(16.496.910.403),,16496910403.0,-16496910403.0,,,16496910403.0,-16496910403.0
,,,+ Công ty Cổ phần Đầu tư Kiến Quân,16.000.000.000,(16.000.000.000),-,-,16.000.000.000,(16.000.000.000),,16000000000.0,-16000000000.0,,,16000000000.0,-16000000000.0
,,,+ Vương Đáng,307.528.611,(307.528.611),-,60.000.000,247.528.611,(247.528.611),,307528611.0,-307528611.0,,60000000.0,247528611.0,-247528611.0
,,,- Các khách hàng khác,681.188.071.741,(339.893.356.885),-,9.080.679.805,672.107.391.936,(331.072.073.156),,681188071741.0,-339893356885.0,,9080679805.0,672107391936.0,-331072073156.0
,,,,828.069.819.911,(419.350.516.100),-,77.915.973.721,750.153.846.190,(376.651.132.371),,828069819911.0,-419350516100.0,,77915973721.0,750153846190.0,-376651132371.0
