row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2024 > VND,Năm 2023 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2024 > VND,numeric__Năm 2023 > VND
,,,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KÍNH DOANH,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KÍNH DOANH,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KÍNH DOANH,I. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG KÍNH DOANH,,,,
01,01,01,"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác","1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",3.448.910.834.740,2.424.431.395.357,,,3448910834740.0,2424431395357.0
02,02,02,2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,(3.576.970.025.581),(2.318.768.931.024),,,-3576970025581.0,-2318768931024.0
03,03,03,3. Tiền chi trả cho người lao động,3. Tiền chi trả cho người lao động,(80.910.763.473),(75.095.618.077),,,-80910763473.0,-75095618077.0
04,04,04,4. Tiền lãi vay đã trả,4. Tiền lãi vay đã trả,(4.528.877.911),(7.686.611.785),,,-4528877911.0,-7686611785.0
06,06,06,5. Tiền thu khác từ hoạt động kinh doanh,5. Tiền thu khác từ hoạt động kinh doanh,156.044.572.179,140.585.185.617,,,156044572179.0,140585185617.0
07,07,07,6. Tiền chi khác cho hoạt động kinh doanh,6. Tiền chi khác cho hoạt động kinh doanh,(230.139.269.104),(208.690.945.704),,,-230139269104.0,-208690945704.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(287.593.529.150),(45.225.525.616),,,-287593529150.0,-45225525616.0
,,,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,21,21,"1. Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",(11.252.163.821),(1.143.522.600),,,-11252163821.0,-1143522600.0
22,22,22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác","2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",1.610.885.183,40.800.000,,,1610885183.0,40800000.0
23,23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",(5.586.474.689.594),(3.970.900.000.000),,,-5586474689594.0,-3970900000000.0
24,24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",4.340.505.819.459,3.865.663.238.436,,,4340505819459.0,3865663238436.0
26,26,26,5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,5. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,-,1.000,,,,1000.0
27,27,27,"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",2.574.035.862.678,1.917.293.819.453,,,2574035862678.0,1917293819453.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,1.318.425.713.905,1.810.954.336.289,,,1318425713905.0,1810954336289.0
,,,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
34,34,34,1. Tiền trả nợ gốc vay,1. Tiền trả nợ gốc vay,(31.514.615.908),(31.514.615.908),,,-31514615908.0,-31514615908.0
36,36,36,"2. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","2. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",(1.199.875.455.265),(1.400.150.268.095),,,-1199875455265.0,-1400150268095.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,(1.231.390.071.173),(1.431.664.884.003),,,-1231390071173.0,-1431664884003.0
50,50,50,Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,(200.557.886.418),334.063.926.670,,,-200557886418.0,334063926670.0
60,60,60,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,805.500.772.847,471.031.758.711,,,805500772847.0,471031758711.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,267.837.143,405.087.466,,,267837143.0,405087466.0
70,70,70,Tiền và tương đương tiền cuối năm,3,605.210.723.572,805.500.772.847,,3.0,605210723572.0,805500772847.0
