row_label_raw,row_label_full,col_0,Stock code,31/12/2024,31/12/2024_1,31/12/2024_2,01/01/2024,01/01/2024_1,01/01/2024_2,numeric__Stock code,numeric__31/12/2024,numeric__31/12/2024_1,numeric__31/12/2024_2,numeric__01/01/2024,numeric__01/01/2024_1,numeric__01/01/2024_2
,,,Stock code,Original cost,Fair value,Provision,Original cost,Fair value,Provision,,,,,,,
,,,Stock code,VND,VND,,VND,VND,,,,,,,,
Investments in other entities,Investments in other entities,Investments in other entities,Investments in other entities,Investments in other entities,Investments in other entities,Investments in other entities,Investments in other entities,Investments in other entities,Investments in other entities,,,,,,,
Viet Nam Rubber Industrial Zone and Urban Development JSC (1),Viet Nam Rubber Industrial Zone and Urban Development JSC (1),Viet Nam Rubber Industrial Zone and Urban Development JSC (1),VRG,"9,743,200,000","96,539,456,000",-,"9,743,200,000","103,105,702,400",-,,,,,,,
Thuan An Wood Processing JSC (1),Thuan An Wood Processing JSC (1),Thuan An Wood Processing JSC (1),GTA,"18,329,722,400","11,623,726,400","(6,705,996,000)","18,329,722,400","16,653,223,400","(1,676,499,000)",,,,,,,
Vung Tau Intourco Resort JSC,Vung Tau Intourco Resort JSC,Vung Tau Intourco Resort JSC,VIR,"3,850,000,000",,"(215,512,850)","3,850,000,000",,"(215,512,850)",,,,,,,
EVN International JSC (1),EVN International JSC (1),EVN International JSC (1),EIC,"44,118,073,392","94,176,000,000",-,"44,118,073,392","104,716,800,000",-,,,,,,,
Viet Lao Power JSC,Viet Lao Power JSC,Viet Lao Power JSC,,"79,567,924,335",,-,"79,567,924,335",,-,,,,,,,
Hydraulic Construction Coporation No. 4 JSC (1),Hydraulic Construction Coporation No. 4 JSC (1),Hydraulic Construction Coporation No. 4 JSC (1),TL4,"24,418,782,000","18,837,733,714","(5,581,048,286)","24,418,782,000","19,589,289,560","(4,829,492,440)",,,,,,,
Highway I3-An Loc-Hoa Lu BOT Coporation,Highway I3-An Loc-Hoa Lu BOT Coporation,Highway I3-An Loc-Hoa Lu BOT Coporation,,"23,082,813,181",,"(23,082,813,181)","23,082,813,181",,"(23,082,813,181)",,,,,,,
Sai Gon VRG Investment Holding Coporation (1),Highway I3-An Loc-Hoa Lu BOT Coporation > Sai Gon VRG Investment Holding Coporation (1),Sai Gon VRG Investment Holding Coporation (1),SIP,"686,816","267,781,440,000",-,"686,816","204,944,640,000",-,,686.816,,,686.816,,
Southern Hot Strip Steel Corporation (2),Southern Hot Strip Steel Corporation (2),Southern Hot Strip Steel Corporation (2),,-,,-,-,,-,,,,,,,
Hung Thinh Steel JSC (2),Hung Thinh Steel JSC (2),Hung Thinh Steel JSC (2),,-,,-,-,,-,,,,,,,
,,,,"203,111,202,124",,"(35,585,370,317)","203,111,202,124",,"(29,804,317,471)",,,,,,,
