row_label_raw,row_label_full,col_0,Contributed capital,Development and investment fund,Retained earnings,Total,numeric__Contributed capital,numeric__Development and investment fund,numeric__Retained earnings,numeric__Total
,,,VND,VND,VND,VND,,,,
Beginning balance of the previous year,Beginning balance of the previous year,Beginning balance of the previous year,"40,000,000,000,000","1,609,242,678,060","1,755,808,316,735","43,365,050,994,795",,,,
Profit of the previous year,Profit of the previous year,Profit of the previous year,-,-,"1,433,097,462,048","1,433,097,462,048",,,,
Appropriation to Development and investment fund,Appropriation to Development and investment fund,Appropriation to Development and investment fund,-,"319,934,387,591","(319,934,387,591)",-,,,,
Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,-,-,"(9,640,686,000)","(9,640,686,000)",,,,
Appropriation to Executive Board Bonus Fund,Appropriation to Executive Board Bonus Fund,Appropriation to Executive Board Bonus Fund,-,-,"(1,068,973,333)","(1,068,973,333)",,,,
Dividend distribution,Dividend distribution,Dividend distribution,-,-,"(1,400,000,000,000)","(1,400,000,000,000)",,,,
Ending balance of the previous year,Ending balance of the previous year,Ending balance of the previous year,"40,000,000,000,000","1,929,177,065,651","1,458,261,731,859","43,387,438,797,510",,,,
Beginning balance of the current year,Beginning balance of the current year,Beginning balance of the current year,"40,000,000,000,000","1,929,177,065,651","1,458,261,731,859","43,387,438,797,510",,,,
Profit of the current year,Profit of the current year,Profit of the current year,-,-,"2,353,531,650,555","2,353,531,650,555",,,,
Appropriation to Development and investment fund,Appropriation to Development and investment fund,Appropriation to Development and investment fund,-,"246,783,463,631","(246,783,463,631)",-,,,,
Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,-,-,"(10,370,880,000)","(10,370,880,000)",,,,
Appropriation to Executive Board Bonus fund,Appropriation to Executive Board Bonus fund,Appropriation to Executive Board Bonus fund,-,-,"(1,107,388,228)","(1,107,388,228)",,,,
Dividend distribution,Dividend distribution,Dividend distribution,-,-,"(1,200,000,000,000)","(1,200,000,000,000)",,,,
Ending balance of the,Ending balance of the,Ending balance of the,"40,000,000,000,000","2,175,960,529,282","2,353,531,650,555","44,529,492,179,837",,,,
