row_label_raw,row_label_full,col_0,col_1,31/12/2024 > Giá trị,31/12/2024 > Dự phòng,01/01/2024 > Giá trị,01/01/2024 > Dự phòng,numeric__col_1,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Dự phòng
,,,,VND,VND,VND,VND,,,,,
a),a),a),Ngắn hạn,,,,,,,,,
,,,Phải thu khác tại Văn phòng Tập đoàn,1.100.142.508.716,(14.723.218.660),1.310.205.229.791,(12.168.944.713),,1100142508716.0,-14723218660.0,1310205229791.0,-12168944713.0
,,,- Phải thu về ứng vốn kinh doanh,6.922.169.876,-,6.922.169.876,-,,6922169876.0,,6922169876.0,
,,,- Phải thu tiền bán mù cao su ủy thác,-,-,8.867.695.853,-,,,,8867695853.0,
,,,"- Phải thu cổ tức, lợi nhuận được chia",117.144.000.000,(8.752.000.000),158.016.272.303,(8.752.000.000),,117144000000.0,-8752000000.0,158016272303.0,-8752000000.0
,,,- Phải thu tiền lãi dự thu,65.174.241.222,(5.712.841.289),48.070.868.767,(3.416.944.713),,65174241222.0,-5712841289.0,48070868767.0,-3416944713.0
,,,- Phải thu lãi cho vay vốn AFD,2.050.657.742,(258.377.371),2.317.948.835,-,,2050657742.0,-258377371.0,2317948835.0,
,,,- Phải thu lợi nhuận tập trung,757.576.415.487,-,962.748.011.701,-,,757576415487.0,,962748011701.0,
,,,- Phải thu tạm ứng,1.838.856.649,-,1.196.256.649,-,,1838856649.0,,1196256649.0,
,,,"- Cảm cổ, thế chấp, ký quỹ, ký cược",41.653.761.551,-,33.145.115.907,-,,41653761551.0,,33145115907.0,
,,,- Phải thu khác,107.782.406.189,-,88.920.889.900,-,,107782406189.0,,88920889900.0,
,,,Phải thu khác sáp nhập từ Công ty Tài chính Cao su,5.730.685.812,-,5.527.838.671,-,,5730685812.0,,5527838671.0,
,,,- Phải thu Ngân hàng Nhà nước Việt Nam về hỗ trợ lãi suất,2.697.168.577,-,2.697.168.577,-,,2697168577.0,,2697168577.0,
,,,- Phải thu tạm ứng phí xử lý nợ,1.651.273.441,-,1.448.426.300,-,,1651273441.0,,1448426300.0,
,,,- Phải thu khác,1.382.243.794,-,1.382.243.794,-,,1382243794.0,,1382243794.0,
,,,,1.105.873.194.528,(14.723.218.660),1.315.733.068.462,(12.168.944.713),,1105873194528.0,-14723218660.0,1315733068462.0,-12168944713.0
b),b),b),Dài hạn,,,,,,,,,
,,,Phải thu khác phát sinh tại Văn phòng Tập đoàn,,,,,,,,,
,,,- Phải thu về tiền tạm ứng vốn đầu tư,2.304.428.216.562,-,2.347.206.871.679,-,,2304428216562.0,,2347206871679.0,
,,,- Phải thu về ứng vốn kinh doanh,3.200.000.000,-,4.800.000.000,-,,3200000000.0,,4800000000.0,
,,,,2.307.628.216.562,-,2.352.006.871.679,-,,2307628216562.0,,2352006871679.0,
c),b) > c),c),Trong đó: Phải thu khác là các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 35),3.300.146.977.817,(4.315.818.951),3.573.631.866.335,(1.761.545.004),,3300146977817.0,-4315818951.0,3573631866335.0,-1761545004.0
