row_label_raw,row_label_full,col_0,col_1,01/01/2024,01/01/2024_1,During the year,During the year_1,31/12/2024,31/12/2024_1,numeric__col_1,numeric__01/01/2024,numeric__01/01/2024_1,numeric__During the year,numeric__During the year_1,numeric__31/12/2024,numeric__31/12/2024_1
,,,,Outstanding balance,Amount can be paid,Increase,Decrease,Outstanding balance,Amount can be paid,,,,,,,
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
a),a),a),Short-term borrowings,,,,,,,,,,,,,
a),a),a),Current portion of long-term borrowings,,,,,,,,,,,,,
a),a),a),Vietnam Development Commercial Joint Stock Bank - Transaction Office No. 2 - AFD Borrowings (*),"31,514,615,908","31,514,615,908","31,514,615,897","31,514,615,908","31,514,615,897","31,514,615,897",,,,,,,
a),a),a),Vietnam Development Commercial Joint Stock Bank - Transaction Office No. 2 - AFD Borrowings (*),"31,514,615,908","31,514,615,908","31,514,615,897","31,514,615,908","31,514,615,897","31,514,615,897",,,,,,,
b),b),b),Long-term borrowings,,,,,,,,,,,,,
b),b),b),Vietnam Development Commercial Joint Stock Bank - Transaction Office No. 2 - AFD Borrowings (*),"63,029,231,805","63,029,231,805",-,"31,514,615,908","31,514,615,897","31,514,615,897",,,,,,,
b),b),b),Vietnam Development Commercial Joint Stock Bank - Transaction Office No. 2 - AFD Borrowings (*),"63,029,231,805","63,029,231,805",-,"31,514,615,908","31,514,615,897","31,514,615,897",,,,,,,
b),b),b),Amounts come due within 12 months,"(31,514,615,908)","(31,514,615,908)","(31,514,615,897)","(31,514,615,908)","(31,514,615,897)","(31,514,615,897)",,,,,,,
b),b),b),Amounts come due after 12 months,"31,514,615,897","31,514,615,897",,,-,-,,,,,,,
