row_label_raw,row_label_full,col_0,Land use rights,Computer software,Total,numeric__Land use rights,numeric__Computer software,numeric__Total
,,,VND,VND,VND,,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,
Beginning balance,Beginning balance,Beginning balance,"11,109,585,388","10,221,555,482","21,331,140,870",,,
- Purchase in the year,- Purchase in the year,- Purchase in the year,-,"680,000,000","680,000,000",,,
- Reduced due to handover to local area,- Reduced due to handover to local area,- Reduced due to handover to local area,-,"(155,578,260)","(155,578,260)",,,
Ending balance,Ending balance,Ending balance,"11,109,585,388","10,745,977,222","21,855,562,610",,,
Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,,,
Beginning balance,Beginning balance,Beginning balance,-,"9,977,055,476","9,977,055,476",,,
- Amortization in the year,- Amortization in the year,- Amortization in the year,-,"279,415,764","279,415,764",,,
Ending balance,Ending balance,Ending balance,-,"10,256,471,240","10,256,471,240",,,
Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,,,
Beginning balance,Beginning balance,Beginning balance,"11,109,585,388","244,500,006","11,354,085,394",,,
Ending balance,Ending balance,Ending balance,"11,109,585,388","489,505,982","11,599,091,370",,,
