row_label_raw,row_label_full,col_0,Rate (%),Amount VND,numeric__Rate (%),numeric__Amount VND
Profit after corporate income tax,Profit after corporate income tax,Profit after corporate income tax,100.00,"1,458,261,731,859",10000.0,
Appropriation to Development and investment fund,Appropriation to Development and investment fund,Appropriation to Development and investment fund,16.92,"246,783,463,631",1692.0,
"Appropriation to Bonus and welfare funds, Executive Board Bonus fund","Appropriation to Bonus and welfare funds, Executive Board Bonus fund","Appropriation to Bonus and welfare funds, Executive Board Bonus fund",0.79,"11,478,268,228",79.0,
Dividend distribution (payment rate: 3.0% of charter capital),Dividend distribution (payment rate: 3.0% of charter capital),Dividend distribution (payment rate: 3.0% of charter capital),82.29,"1,200,000,000,000",8229.0,
Retained earnings,Retained earnings,Retained earnings,-,-,,
