row_label_raw,row_label_full,Tinh trạng hồ sơ,Tinh trạng hồ sơ_1,Số hồ sơ,Số dư nợ,Số dư nợ_1,numeric__Tinh trạng hồ sơ_1,numeric__Số hồ sơ,numeric__Số dư nợ,numeric__Số dư nợ_1
Tinh trạng hồ sơ,Tinh trạng hồ sơ,Tinh trạng hồ sơ,Tinh trạng hồ sơ,Số hồ sơ,Nợ gốc,Nợ lãi,,,,
,,,,,VND,VND,,,,
"Hồ sơ đã khởi kiện, chuyển Tòa án","Tinh trạng hồ sơ > Hồ sơ đã khởi kiện, chuyển Tòa án","Hồ sơ đã khởi kiện, chuyển Tòa án","Hồ sơ đã khởi kiện, chuyển Tòa án",28,385.688.507.982,900.730.394.128,,28.0,385688507982.0,900730394128.0
+ Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,Tinh trạng hồ sơ > + Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,22,338.553.737.199,845.199.084.192,,22.0,338553737199.0,845199084192.0
+ Hồ sơ tín dụng Tòa án đang thụ lý có bản án,Tinh trạng hồ sơ > + Hồ sơ tín dụng Tòa án đang thụ lý có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý có bản án,2,12.202.850.582,50.000.046.906,,2.0,12202850582.0,50000046906.0
+ Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,Tinh trạng hồ sơ > + Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,+ Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,+ Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,4,34.931.920.201,5.531.263.030,,4.0,34931920201.0,5531263030.0
Hồ sơ tại cơ quan thi hành án,Tinh trạng hồ sơ > Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,149,336.755.243.169,1.203.870.195.067,,149.0,336755243169.0,1203870195067.0
+ Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),Tinh trạng hồ sơ > + Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),+ Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),+ Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),8,42.890.764.794,117.391.883.257,,8.0,42890764794.0,117391883257.0
+ Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),Tinh trạng hồ sơ > + Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),+ Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),+ Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),40,282.812.808.055,707.603.450.830,,40.0,282812808055.0,707603450830.0
+ - Hồ sơ thi hành án không có tài sản thế chấp,Tinh trạng hồ sơ > + - Hồ sơ thi hành án không có tài sản thế chấp,+ - Hồ sơ thi hành án không có tài sản thế chấp,+ - Hồ sơ thi hành án không có tài sản thế chấp,101,11.051.670.320,378.874.860.980,,101.0,11051670320.0,378874860980.0
Hồ sơ chưa khởi kiện,Tinh trạng hồ sơ > Hồ sơ chưa khởi kiện,Hồ sơ chưa khởi kiện,Hồ sơ chưa khởi kiện,2,1.340.000.000,1.252.470.921,,2.0,1340000000.0,1252470921.0
,,,,179,723.783.751.151,2.105.853.060.116,,179.0,723783751151.0,2105853060116.0
(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,,,,
Khách hàng,Khách hàng,Khách hàng,Tài sản bảo đảm (cổ phần),Số lượng cổ phiếu,Số dư nợ gốc tại 31/12/2024,Dự phòng tại 31/12/2024,,,,
,,,,,VND,VND,,,,
Tô Đình Chiến,Khách hàng > Tô Đình Chiến,Tô Đình Chiến,Công ty Cổ phần Thép Hưng Thịnh,1.650.000,16.496.910.403,16.496.910.403,,1650000.0,16496910403.0,16496910403.0
Công ty Cổ phần Đầu tư Kiến Quân,Khách hàng > Công ty Cổ phần Đầu tư Kiến Quân,Công ty Cổ phần Đầu tư Kiến Quân,Công ty Cổ phần Thép Hưng Thịnh,1.000.000,7.000.000.000,7.000.000.000,,1000000.0,7000000000.0,7000000000.0
Công ty Cổ phần Đầu tư Kiến Quân,Khách hàng > Công ty Cổ phần Đầu tư Kiến Quân,Công ty Cổ phần Đầu tư Kiến Quân,Công ty Cổ phần Thép Hưng Thịnh,900.000,9.000.000.000,9.000.000.000,,900000.0,9000000000.0,9000000000.0
Vương Đáng,Khách hàng > Vương Đáng,Vương Đáng,Công ty Cổ phần Thép Hưng Thịnh,100.000,247.528.611,247.528.611,,100000.0,247528611.0,247528611.0
Lê Thanh Nhã,Khách hàng > Lê Thanh Nhã,Lê Thanh Nhã,Công ty Cổ phần Đầu tư Kiến Quân,1.200.000,5.500.000.000,5.500.000.000,,1200000.0,5500000000.0,5500000000.0
Lê Thanh Nhã,Khách hàng > Lê Thanh Nhã,Lê Thanh Nhã,Mã CK: HAG,506.000,13.431.920.201,7.334.620.201,,506000.0,13431920201.0,7334620201.0
,,,,,51.676.359.215,45.579.059.215,,,51676359215.0,45579059215.0
