row_label_raw,row_label_full,Đầu tư vào đơn vị khác > - Công ty Cổ phần Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam (1),Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,31/12/2024 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,31/12/2024 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 96.539.456.000,31/12/2024 > Dự phòngVND > Đầu tư vào đơn vị khác > -,01/01/2024 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,01/01/2024 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 103.105.702.400,01/01/2024 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,numeric__31/12/2024 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,numeric__31/12/2024 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 96.539.456.000,numeric__31/12/2024 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__01/01/2024 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,numeric__01/01/2024 > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 103.105.702.400,numeric__01/01/2024 > Dự phòngVND > Đầu tư vào đơn vị khác > -
- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),GTA,18.329.722.400,11.623.726.400,(6.705.996.000),18.329.722.400,16.653.223.400,(1.676.499.000),,18329722400.0,11623726400.0,-6705996000.0,18329722400.0,16653223400.0,-1676499000.0
- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,VIR,3.850.000.000,,(215.512.850),3.850.000.000,,(215.512.850),,3850000000.0,,-215512850.0,3850000000.0,,-215512850.0
- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),EIC,44.118.073.392,94.176.000.000,-,44.118.073.392,104.716.800.000,-,,44118073392.0,94176000000.0,,44118073392.0,104716800000.0,
- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,,79.567.924.335,,-,79.567.924.335,,-,,79567924335.0,,,79567924335.0,,
- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),TL4,24.418.782.000,18.837.733.714,(5.581.048.286),24.418.782.000,19.589.289.560,(4.829.492.440),,24418782000.0,18837733714.0,-5581048286.0,24418782000.0,19589289560.0,-4829492440.0
- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,,23.082.813.181,,(23.082.813.181),23.082.813.181,,(23.082.813.181),,23082813181.0,,-23082813181.0,23082813181.0,,-23082813181.0
- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),SIP,686.816,267.781.440.000,-,686.816,204.944.640.000,-,,686816.0,267781440000.0,,686816.0,204944640000.0,
- Công ty Cổ phần Thép tấm Miền Nam (2),- Công ty Cổ phần Thép tấm Miền Nam (2),- Công ty Cổ phần Thép tấm Miền Nam (2),,-,,-,-,,-,,,,,,,
- Công ty Cổ phần Thép Hưng Thịnh (2),- Công ty Cổ phần Thép Hưng Thịnh (2),- Công ty Cổ phần Thép Hưng Thịnh (2),,-,,-,-,,-,,,,,,,
,,,,203.111.202.124,,(35.585.370.317),203.111.202.124,,(29.804.317.471),,203111202124.0,,-35585370317.0,203111202124.0,,-29804317471.0
