row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tỉnh,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tỉnh,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.109.585.388,10.221.555.482,21.331.140.870,11109585388.0,10221555482.0,21331140870.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,680.000.000,680.000.000,,680000000.0,680000000.0
- Giảm do bàn giao về địa phương,Nguyên giá > - Giảm do bàn giao về địa phương,- Giảm do bàn giao về địa phương,-,(155.578.260),(155.578.260),,-155578260.0,-155578260.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.109.585.388,10.745.977.222,21.855.562.610,11109585388.0,10745977222.0,21855562610.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,9.977.055.476,9.977.055.476,,9977055476.0,9977055476.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,279.415.764,279.415.764,,279415764.0,279415764.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,10.256.471.240,10.256.471.240,,10256471240.0,10256471240.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.109.585.388,244.500.006,11.354.085.394,11109585388.0,244500006.0,11354085394.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.109.585.388,489.505.982,11.599.091.370,11109585388.0,489505982.0,11599091370.0
