row_label_raw,row_label_full,col_0,Relation,Year 2024,Year 2023,numeric__Relation,numeric__Year 2024,numeric__Year 2023
,,,,VND,VND,,,
- Mr. Do Huu Phuoc,- Mr. Do Huu Phuoc,- Mr. Do Huu Phuoc,Member of BoD,"1,120,929,325","912,190,854",,,
- Mr. Do Huu Phuoc,- Mr. Do Huu Phuoc,- Mr. Do Huu Phuoc,Deputy General Director (Appointed Member of BoD on 17/06/2024),,,,,
- Mr. Nguyen Dong Phong,- Mr. Nguyen Dong Phong,- Mr. Nguyen Dong Phong,Member of BoD,"91,075,508",-,,,
- Mr. Nguyen Dong Phong,- Mr. Nguyen Dong Phong,- Mr. Nguyen Dong Phong,(Appointed on 17/06/2024),,,,,
- Mr. Tran Ngoc Thuan,- Mr. Tran Ngoc Thuan,- Mr. Tran Ngoc Thuan,Member of BoD,"551,123,585","912,190,854",,,
- Mr. Tran Ngoc Thuan,- Mr. Tran Ngoc Thuan,- Mr. Tran Ngoc Thuan,(Appointed on 28/06/2024),,,,,
- Mr. Huynh Van Bao,- Mr. Huynh Van Bao,- Mr. Huynh Van Bao,Member of BoD,"280,232,331","912,190,854",,,
- Mr. Huynh Van Bao,- Mr. Huynh Van Bao,- Mr. Huynh Van Bao,(Resigned on 29/03/2024),,,,,
- Mr. Pham Van Thanh,- Mr. Pham Van Thanh,- Mr. Pham Van Thanh,Member of BoD,"280,232,331","912,190,854",,,
- Mr. Pham Van Thanh,- Mr. Pham Van Thanh,- Mr. Pham Van Thanh,(Resigned on 29/03/2024),,,,,
- Mr. Phan Manh Hung,- Mr. Phan Manh Hung,- Mr. Phan Manh Hung,Member of BoD,"42,034,850","136,800,000",,,
- Mr. Phan Manh Hung,- Mr. Phan Manh Hung,- Mr. Phan Manh Hung,(Resigned on 29/03/2024),,,,,
- Mr. Truong Minh Trung,- Mr. Truong Minh Trung,- Mr. Truong Minh Trung,Deputy General Director,"1,120,929,325","912,190,854",,,
- Mr. Tran Thanh Phung,- Mr. Tran Thanh Phung,- Mr. Tran Thanh Phung,Deputy General Director,"1,120,929,325","912,190,854",,,
- Mr. Le Dinh Buu Tri,- Mr. Le Dinh Buu Tri,- Mr. Le Dinh Buu Tri,Deputy General Director,"1,120,929,325","912,190,854",,,
- Mr. Pham Hai Duong,- Mr. Pham Hai Duong,- Mr. Pham Hai Duong,Deputy General Director,"1,120,929,325","912,190,854",,,
- Mr. Huynh Kim Nhut,- Mr. Huynh Kim Nhut,- Mr. Huynh Kim Nhut,Deputy General Director,"1,120,929,325","912,190,854",,,
- Mr. Le Thanh Tu,- Mr. Le Thanh Tu,- Mr. Le Thanh Tu,Deputy General Director (Resigned on 28/08/2023),-,"594,907,079",,,
- Mr. Pham Van Hoi Em,- Mr. Pham Van Hoi Em,- Mr. Pham Van Hoi Em,Head of BoS,"1,015,842,201","826,542,753",,,
- Mr. Pham Van Hoi Em,- Mr. Pham Van Hoi Em,- Mr. Pham Van Hoi Em,(Appointed on 17/06/2024),,,,,
- Mr. Pham Van Hoi Em,- Mr. Pham Van Hoi Em,- Mr. Pham Van Hoi Em,Chief Accountant (Resigned on 17/06/2024),,,,,
- Mr. Do Khac Thang,- Mr. Do Khac Thang,- Mr. Do Khac Thang,Head of BoS,"465,594,342","826,672,961",,,
- Mr. Do Khac Thang,- Mr. Do Khac Thang,- Mr. Do Khac Thang,(Resigned on 17/06/2024),,,,,
- Mr. Nguyen Minh Duc,- Mr. Nguyen Minh Duc,- Mr. Nguyen Minh Duc,Member of BoS,"152,376,330","123,600,000",,,
- Mr. Vo Van Tuan,- Mr. Vo Van Tuan,- Mr. Vo Van Tuan,Member of BoS,"152,376,330","123,600,000",,,
