row_label_raw,row_label_full,Mr. Pham Van Hoi Em > Mr. Do Khac Thang,Head of the Board of Supervision,Appointed on 17/06/2024 > Resigned on 17/06/2024,numeric__Head of the Board of Supervision,numeric__Appointed on 17/06/2024 > Resigned on 17/06/2024
Mr. Nguyen Minh Duc,Mr. Nguyen Minh Duc,Mr. Nguyen Minh Duc,Member,,,
Mr. Vo Van Tuan,Mr. Vo Van Tuan,Mr. Vo Van Tuan,Member,,,
